League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Poland II Liga;Poland;306,0;305,0;2,87;0,58;0,13;0,08;1,21;1,47;1,4;0,51;0,58;0,42;30,0;0,57;3,0;0,33;0,45
Belgium First Division A;Belgium;305,0;304,0;2,69;0,64;0,1;0,1;0,96;1,4;1,29;0,52;0,55;0,45;42,0;0,64;11,0;0,55;0,59
Portugal Primeira Liga;Portugal;304,0;303,0;2,69;0,56;0,11;0,32;1,17;1,5;1,18;0,56;0,49;0,51;68,0;0,43;52,0;0,5;0,46
Portugal Liga 3;Portugal;303,0;303,0;2,24;0,66;0,12;0,12;0,77;1,18;1,06;0,53;0,49;0,51;12,0;0,67;0,0;0,0;0,33
Copa Libertadores;International (South America);302,0;301,0;2,34;0,64;0,09;0,55;0,84;1,44;0,9;0,62;0,42;0,58;127,0;0,41;13,0;0,46;0,44
France Ligue 1;France;301,0;301,0;2,83;0,65;0,12;0,42;0,99;1,63;1,21;0,57;0,5;0,5;74,0;0,53;21,0;0,57;0,55
Saudi Arabia Pro League;Saudi Arabia;300,0;300,0;2,99;0,59;0,13;0,18;1,22;1,58;1,41;0,53;0,56;0,44;74,0;0,45;45,0;0,49;0,47
European U21 Championship Qual;International (Europe);299,0;299,0;3,11;0,65;0,15;0,21;1,1;1,66;1,45;0,53;0,4;0,6;111,0;0,4;81,0;0,41;0,4
Israel Youth League;Israel;299,0;299,0;3,38;0,59;0,14;0,1;1,38;1,74;1,64;0,52;0,59;0,41;33,0;0,64;16,0;0,38;0,51
Paraguay Tercera Division;Paraguay;298,0;297,0;2,65;0,63;0,14;0,23;0,99;1,44;1,21;0,54;0,52;0,48;34,0;0,47;7,0;0,43;0,45
France Ligue 2;France;297,0;297,0;2,53;0,69;0,12;0,12;0,78;1,33;1,21;0,52;0,52;0,48;32,0;0,69;0,0;0,0;0,34
Saudi Arabia Division 1;Saudi Arabia;297,0;295,0;2,95;0,55;0,17;0,21;1,32;1,58;1,37;0,53;0,62;0,38;36,0;0,61;16,0;0,62;0,62
Portugal U19 League;Portugal;296,0;296,0;2,89;0,63;0,14;0,2;1,06;1,54;1,34;0,53;0,55;0,45;43,0;0,53;18,0;0,5;0,52
Bulgaria First League;Bulgaria;295,0;295,0;2,35;0,66;0,12;0,19;0,8;1,27;1,08;0,54;0,44;0,56;85,0;0,46;38,0;0,58;0,52
Thailand Division 2;Thailand;294,0;294,0;2,78;0,63;0,14;0,44;1,03;1,61;1,17;0,58;0,56;0,44;18,0;0,61;0,0;0,0;0,31
International Match;International (World);294,0;293,0;2,66;0,7;0,15;0,47;0,79;1,56;1,1;0,59;0,45;0,55;95,0;0,43;20,0;0,5;0,47
Slovakia 3. Liga;Slovakia;294,0;294,0;3,24;0,59;0,15;0,56;1,33;1,9;1,34;0,59;0,62;0,38;47,0;0,72;4,0;0,5;0,61
Serbia Super Liga;Serbia;293,0;293,0;2,75;0,65;0,12;0,32;0,97;1,54;1,22;0,56;0,55;0,45;54,0;0,57;23,0;0,65;0,61
Netherlands Tweede Divisie;Netherlands;292,0;292,0;3,29;0,53;0,15;0,28;1,55;1,78;1,51;0,54;0,61;0,39;12,0;0,5;2,0;1,0;0,75
U19 Euro Championship Qual Women;International (Europe);290,0;289,0;3,47;0,65;0,16;0,54;1,22;2,0;1,47;0,58;0,33;0,67;115,0;0,26;68,0;0,31;0,28
Israel Liga Bet South;Israel;290,0;290,0;3,08;0,62;0,14;0,26;1,16;1,67;1,41;0,54;0,48;0,52;44,0;0,48;23,0;0,35;0,41
Spain Segunda Division RFEF Group 5;Spain;289,0;288,0;2,61;0,59;0,13;0,33;1,07;1,47;1,14;0,56;0,51;0,49;29,0;0,66;0,0;0,0;0,33
Uruguay Amateur Cup;Uruguay;286,0;286,0;2,78;0,68;0,13;0,58;0,9;1,68;1,1;0,6;0,52;0,48;36,0;0,58;6,0;0,5;0,54
South Korea K League 2;South Korea;284,0;284,0;2,59;0,65;0,15;0,02;0,9;1,31;1,28;0,5;0,52;0,48;23,0;0,48;10,0;0,2;0,34
Spain Copa del Rey;Spain;284,0;284,0;2,99;0,64;0,14;0,8;1,08;1,1;1,89;0,37;0,5;0,5;18,0;0,56;120,0;0,52;0,54
England Development League 2;England;283,0;283,0;3,85;0,48;0,16;0,37;2,01;2,11;1,74;0,55;0,69;0,31;29,0;0,62;1,0;1,0;0,81
Israel Leumit Liga;Israel;282,0;282,0;2,72;0,6;0,14;0,06;1,07;1,33;1,39;0,49;0,56;0,44;17,0;0,59;8,0;0,75;0,67
Spain Segunda Division RFEF Group 2;Spain;279,0;279,0;2,51;0,63;0,13;0,43;0,92;1,47;1,04;0,58;0,51;0,49;47,0;0,45;4,0;0,5;0,47
Mexico U21 League;Mexico;279,0;278,0;2,57;0,61;0,15;0,41;1,01;1,49;1,08;0,58;0,53;0,47;10,0;0,4;4,0;1,0;0,7
England Northern Premier League;England;277,0;277,0;2,48;0,6;0,13;0,22;1,0;1,35;1,13;0,54;0,52;0,48;9,0;0,67;0,0;0,0;0,33
Spain Segunda Division RFEF Group 1;Spain;277,0;277,0;2,51;0,67;0,12;0,29;0,83;1,4;1,11;0,56;0,51;0,49;33,0;0,61;2,0;0,5;0,55
Italy Eccellenza;Italy;277,0;273,0;2,52;0,71;0,13;0,3;0,74;1,41;1,11;0,56;0,45;0,55;43,0;0,35;14,0;0,64;0,5
Uruguay Reserve League;Uruguay;277,0;277,0;2,81;0,6;0,15;0,16;1,14;1,48;1,33;0,53;0,51;0,49;19,0;0,53;14,0;0,57;0,55
Czechia First League;Czech Republic;274,0;274,0;2,64;0,62;0,13;0,18;1,0;1,41;1,23;0,53;0,51;0,49;60,0;0,63;18,0;0,61;0,62
England U21 Premier League Cup;England;274,0;274,0;3,61;0,53;0,15;0,43;1,69;2,02;1,59;0,56;0,64;0,36;30,0;0,7;9,0;0,89;0,79
Belgium First Division B;Belgium;274,0;274,0;2,82;0,59;0,12;0,09;1,15;1,46;1,37;0,52;0,55;0,45;38,0;0,55;11,0;0,55;0,55
Japan J2/J3 Centennial League;Japan;273,0;273,0;2,6;0,63;0,12;0,09;0,95;1,34;1,25;0,52;0,49;0,51;17,0;0,41;7,0;0,86;0,63
Japan J3-League;Japan;273,0;273,0;2,65;0,65;0,14;0,28;0,92;1,47;1,18;0,55;0,52;0,48;14,0;0,71;2,0;0,5;0,61
France National;France;273,0;273,0;2,43;0,63;0,13;0,13;0,91;1,28;1,15;0,53;0,52;0,48;20,0;0,55;1,0;0,0;0,28
