League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Ukraine Persha Liga;Ukraine;120,0;120,0;2,01;0,67;0,12;0,26;0,67;1,13;0,88;0,56;0,36;0,64;18,0;0,39;6,0;0,5;0,44
Jordan League;Jordan;119,0;119,0;2,74;0,66;0,13;0,03;0,92;1,35;1,39;0,49;0,49;0,51;29,0;0,59;21,0;0,62;0,6
UEFA Women's Champions League;International (Europe);119,0;119,0;3,49;0,51;0,14;0,5;1,72;1,99;1,5;0,57;0,49;0,51;44,0;0,41;32,0;0,56;0,49
Netherlands Eredivisie Women;Netherlands;118,0;118,0;3,3;0,57;0,13;0,36;1,41;1,83;1,47;0,56;0,53;0,47;35,0;0,51;27,0;0,59;0,55
Australia A-League Women;Australia;117,0;117,0;2,74;0,63;0,11;0,22;1,01;1,48;1,26;0,54;0,56;0,44;11,0;0,36;4,0;0,75;0,56
Kosovo Superliga;Kosovo;117,0;117,0;2,47;0,61;0,12;0,21;0,98;1,34;1,13;0,54;0,51;0,49;12,0;0,67;0,0;0,0;0,33
U19 International;International (World);117,0;117,0;3,15;0,62;0,16;0,5;1,19;1,83;1,32;0,58;0,57;0,43;24,0;0,54;3,0;0,33;0,44
Dominican Republic Liga;Dominican Republic;117,0;116,0;2,58;0,67;0,14;0,14;0,86;1,36;1,22;0,53;0,47;0,53;16,0;0,62;3,0;0,0;0,31
Australia Northern NSW Reserves League;Australia;117,0;117,0;3,63;0,48;0,14;0,13;1,87;1,88;1,75;0,52;0,7;0,3;4,0;0,75;7,0;0,86;0,8
Uruguay Apertura;Uruguay;116,0;116,0;2,47;0,61;0,15;0,24;0,97;1,35;1,11;0,55;0,53;0,47;12,0;0,83;7,0;0,57;0,7
Sweden 2.div Norra Svealand;Sweden;116,0;116,0;3,44;0,57;0,17;0,54;1,47;1,99;1,45;0,58;0,63;0,37;17,0;0,59;4,0;0,75;0,67
Trinidad & Tobago Premier League;Trinidad & Tobago;116,0;116,0;3,34;0,54;0,17;0,05;1,54;1,65;1,7;0,49;0,53;0,47;19,0;0,42;14,0;0,43;0,42
Hungary NBI Women;Hungary;116,0;115,0;3,57;0,6;0,18;0,21;1,42;1,89;1,68;0,53;0,46;0,54;33,0;0,45;31,0;0,39;0,42
Australia Victoria PL 1 U23;Australia;115,0;115,0;4,59;0,55;0,18;0,23;2,09;2,41;2,18;0,52;0,71;0,29;13,0;0,92;14,0;0,64;0,78
Australia SA Premier League Reserves;Australia;115,0;115,0;4,3;0,5;0,19;0,04;2,15;2,17;2,13;0,51;0,65;0,35;17,0;0,76;11,0;0,64;0,7
Poland Ekstraliga Women;Poland;115,0;115,0;3,28;0,6;0,17;0,08;1,32;1,6;1,68;0,49;0,5;0,5;27,0;0,37;23,0;0,61;0,49
Australia NPL Queensland Women;Australia;115,0;115,0;3,28;0,56;0,15;0,37;1,44;1,83;1,45;0,56;0,48;0,52;34,0;0,32;30,0;0,5;0,41
Australia WA State League 1 Reserves;Australia;115,0;115,0;4,1;0,52;0,16;0,1;1,95;2,1;2,0;0,51;0,63;0,37;17,0;0,59;9,0;0,56;0,57
Saint Kitts & Nevis Premier League;Saint Kitts & Nevis;115,0;113,0;3,68;0,63;0,24;0,06;1,35;1,87;1,81;0,51;0,53;0,47;26,0;0,58;26,0;0,62;0,6
Albania First Division;Albania;115,0;114,0;2,28;0,66;0,13;0,24;0,78;1,26;1,02;0,55;0,45;0,55;30,0;0,6;9,0;0,56;0,58
Hong Kong Premier League;Hong Kong;115,0;115,0;3,2;0,58;0,15;0,21;1,35;1,7;1,5;0,53;0,55;0,45;22,0;0,5;19,0;0,42;0,46
Bahrain Division 2;Bahrain;115,0;115,0;2,9;0,68;0,17;0,2;0,92;1,35;1,55;0,47;0,46;0,54;25,0;0,52;22,0;0,32;0,42
CONCACAF Central American Cup;International (North & Central America);114,0;114,0;2,72;0,68;0,14;0,54;0,86;1,63;1,09;0,6;0,55;0,45;19,0;0,58;6,0;1,0;0,79
South Africa National Div 1;South Africa;114,0;113,0;2,11;0,68;0,12;0,38;0,68;1,25;0,87;0,59;0,44;0,56;5,0;0,4;0,0;0,0;0,2
Panama Liga de Futbol Nacional;Panama;113,0;113,0;3,15;0,6;0,14;0,3;1,25;1,73;1,42;0,55;0,56;0,44;8,0;0,88;2,0;1,0;0,94
Myanmar U21 League;Myanmar;113,0;113,0;3,12;0,59;0,15;0,04;1,29;1,54;1,58;0,49;0,45;0,55;34,0;0,53;28,0;0,5;0,51
Spain Copa Federacion;Spain;113,0;113,0;2,63;0,68;0,14;0,29;0,84;1,46;1,17;0,56;0,49;0,51;10,0;0,4;6,0;0,33;0,37
Norway Division 3 Group 5;Norway;112,0;112,0;4,38;0,53;0,18;0,47;2,08;2,43;1,96;0,55;0,68;0,32;25,0;0,6;9,0;0,89;0,74
Greece Super League Women;Greece;112,0;112,0;3,01;0,65;0,16;0,56;1,04;1,79;1,22;0,59;0,39;0,61;43,0;0,37;27,0;0,37;0,37
Qatar Reserve League;Qatar;112,0;112,0;2,46;0,72;0,14;0,15;0,7;1,3;1,15;0,53;0,47;0,53;4,0;0,75;1,0;1,0;0,88
Argentina Regional League;Argentina;112,0;111,0;2,8;0,58;0,12;0,29;1,17;1,54;1,26;0,55;0,53;0,47;13,0;0,31;1,0;1,0;0,65
Indonesia Liga Nusantara;Indonesia;111,0;111,0;2,38;0,55;0,12;0,05;1,06;1,16;1,22;0,49;0,54;0,46;6,0;0,83;4,0;0,75;0,79
Germany Landespokal;Germany;111,0;111,0;3,45;0,6;0,16;0,62;1,37;1,41;2,04;0,41;0,48;0,52;10,0;0,2;43,0;0,42;0,31
Egypt Cup;Egypt;111,0;111,0;1,95;0,77;0,12;0,71;0,46;1,33;0,62;0,68;0,38;0,62;46,0;0,39;1,0;0,0;0,2
Iceland Cup;Iceland;110,0;110,0;4,6;0,48;0,22;0,29;2,41;2,45;2,15;0,53;0,69;0,31;31,0;0,68;27,0;0,74;0,71
Mauritania Division 1;Mauritania;110,0;110,0;2,39;0,61;0,12;0,28;0,93;1,34;1,05;0,56;0,49;0,51;14,0;0,43;4,0;0,75;0,59
China FA Cup;China;110,0;110,0;2,77;0,64;0,15;0,63;1,01;1,07;1,7;0,39;0,44;0,56;7,0;0,29;47,0;0,47;0,38
Brazil Campeonato Gaucho 2;Brazil;110,0;110,0;1,93;0,75;0,1;0,31;0,48;1,12;0,81;0,58;0,37;0,63;12,0;0,42;2,0;0,5;0,46
Cameroon Elite One;Cameroon;109,0;109,0;2,22;0,71;0,1;0,37;0,64;1,29;0,93;0,58;0,43;0,57;10,0;0,7;0,0;0,0;0,35
Finland Kakkonen Group B;Finland;109,0;109,0;3,71;0,57;0,17;0,48;1,59;2,09;1,61;0,56;0,6;0,4;24,0;0,67;7,0;0,57;0,62
Norway Division 3 Group 3;Norway;109,0;109,0;4,12;0,51;0,18;0,47;2,03;2,29;1,83;0,56;0,58;0,42;18,0;0,72;14,0;0,79;0,75
Spain Tercera Group 12;Spain;109,0;109,0;2,53;0,67;0,12;0,48;0,83;1,5;1,03;0,59;0,49;0,51;17,0;0,53;3,0;0,67;0,6
Northern Ireland Reserve League;North Ireland;108,0;108,0;4,32;0,47;0,23;0,82;2,28;2,57;1,75;0,6;0,67;0,33;25,0;0,64;7,0;0,86;0,75
England Isthmian Division One South;England;108,0;108,0;3,04;0,6;0,13;0,28;1,22;1,66;1,38;0,55;0,56;0,44;8,0;1,0;3,0;0,67;0,83
England Southern League Div One;England;107,0;107,0;3,34;0,47;0,15;0,31;1,76;1,82;1,51;0,55;0,62;0,38;15,0;0,53;4,0;0,5;0,52
Togo Premier Division;Togo;107,0;102,0;1,66;0,8;0,16;0,15;0,34;0,91;0,76;0,54;0,35;0,65;11,0;0,64;1,0;1,0;0,82
South Africa League Women;South Africa;105,0;105,0;2,69;0,66;0,13;0,27;0,92;1,48;1,21;0,55;0,42;0,58;26,0;0,38;14,0;0,43;0,41
Armenia Premier League;Armenia;105,0;105,0;2,57;0,6;0,16;0,42;1,03;1,5;1,08;0,58;0,46;0,54;26,0;0,35;18,0;0,39;0,37
Thailand League Cup;Thailand;105,0;105,0;2,92;0,62;0,15;0,58;1,11;1,17;1,75;0,4;0,46;0,54;17,0;0,47;27,0;0,56;0,51
Denmark Cup;Denmark;105,0;105,0;3,33;0,52;0,16;0,29;1,6;1,52;1,81;0,46;0,58;0,42;13,0;0,46;41,0;0,63;0,55
Iran Div 1;Iran;105,0;105,0;1,6;0,78;0,1;0,59;0,35;1,1;0,5;0,68;0,31;0,69;15,0;0,53;0,0;0,0;0,27
Australia Capital Territory Premier League;Australia;104,0;104,0;4,05;0,52;0,18;0,26;1,93;2,15;1,89;0,53;0,71;0,29;12,0;0,75;6,0;0,83;0,79
Africa Cup of Nations;International (Africa);104,0;104,0;2,26;0,64;0,1;0,34;0,81;1,3;0,96;0,57;0,46;0,54;30,0;0,57;22,0;0,45;0,51
Lithuania II Lyga;Lithuania;104,0;104,0;4,02;0,57;0,16;0,54;1,71;2,28;1,74;0,57;0,57;0,43;18,0;0,44;10,0;0,5;0,47
India Mumbai Super Division;India;104,0;104,0;4,54;0,56;0,2;1,13;1,99;1,7;2,84;0,37;0,51;0,49;7,0;0,43;24,0;0,5;0,46
Myanmar National League;Myanmar;104,0;102,0;3,59;0,62;0,16;0,14;1,35;1,72;1,87;0,48;0,55;0,45;24,0;0,38;18,0;0,44;0,41
Spain Copa De La Reina;Spain;104,0;104,0;3,16;0,66;0,14;0,91;1,08;1,12;2,04;0,36;0,42;0,58;13,0;0,62;37,0;0,32;0,47
Malaysia Cup;Malaysia;104,0;104,0;3,38;0,56;0,16;0,51;1,48;1,94;1,43;0,58;0,5;0,5;37,0;0,43;17,0;0,59;0,51
Belgium Super League Women;Belgium;104,0;104,0;2,92;0,55;0,17;0,1;1,31;1,51;1,41;0,52;0,57;0,43;26,0;0,5;15,0;0,8;0,65
Türkiye 3.Lig Group 3;Turkey;104,0;103,0;2,48;0,66;0,14;0,37;0,83;1,42;1,06;0,57;0,43;0,57;16,0;0,5;8,0;0,38;0,44
Andorra Premier Division;Andorra;103,0;103,0;2,72;0,67;0,12;0,21;0,89;1,47;1,25;0,54;0,41;0,59;34,0;0,38;25,0;0,28;0,33
Switzerland 2. Liga Interregional;Switzerland;103,0;103,0;3,62;0,56;0,16;0,83;1,58;2,22;1,4;0,61;0,64;0,36;14,0;0,79;0,0;0,0;0,39
Paraguay Cup;Paraguay;102,0;102,0;2,49;0,71;0,14;0,51;0,72;0,99;1,5;0,4;0,34;0,66;12,0;0,25;21,0;0,38;0,32
Coppa Italia;Italy;102,0;102,0;2,79;0,58;0,12;1,09;1,17;1,94;0,85;0,69;0,52;0,48;49,0;0,51;2,0;0,5;0,51
Indonesia Liga 4;Indonesia;102,0;102,0;3,15;0,69;0,16;0,21;0,97;1,68;1,47;0,53;0,51;0,49;16,0;0,56;7,0;0,71;0,64
South Korea Cup;South Korea;102,0;102,0;2,47;0,64;0,14;0,14;0,88;1,3;1,17;0,53;0,5;0,5;29,0;0,45;8,0;0,38;0,41
Hungary U19 1st Division;Hungary;100,0;100,0;3,77;0,54;0,19;0,21;1,74;1,99;1,78;0,53;0,53;0,47;17,0;0,47;4,0;0,5;0,49
UAE Youth League;UAE;100,0;100,0;3,59;0,51;0,16;0,37;1,74;1,98;1,61;0,55;0,64;0,36;30,0;0,63;14,0;0,5;0,57
Qatar U19 League;Qatar;98,0;98,0;2,6;0,56;0,14;0,15;1,13;1,22;1,38;0,47;0,5;0,5;9,0;0,89;6,0;0,67;0,78
Rwanda Cup;Rwanda;98,0;98,0;2,16;0,8;0,12;0,37;0,44;1,27;0,9;0,58;0,4;0,6;21,0;0,38;3,0;0,33;0,36
Canada Premier League;Canada;98,0;97,0;2,86;0,61;0,14;0,59;1,13;1,72;1,13;0,6;0,54;0,46;8,0;0,38;1,0;1,0;0,69
Norway Division 3 Group 1;Norway;97,0;97,0;4,78;0,53;0,22;1,09;2,22;2,94;1,85;0,61;0,73;0,27;27,0;0,81;5,0;0,8;0,81
Portugal Campeonato Nacional Women;Portugal;96,0;96,0;2,76;0,66;0,13;0,16;0,93;1,3;1,46;0,47;0,5;0,5;33,0;0,61;22,0;0,41;0,51
Italy Serie C Play-Offs;Italy;96,0;95,0;2,14;0,83;0,11;0,2;0,37;1,17;0,97;0,55;0,46;0,54;3,0;0,67;0,0;0,0;0,33
Hong Kong 3rd Division;Hong Kong;96,0;96,0;3,62;0,49;0,16;0,62;1,84;2,12;1,5;0,59;0,56;0,44;13,0;0,38;10,0;0,5;0,44
Australia Capital Territory U23 League;Australia;96,0;96,0;3,94;0,55;0,18;0,35;1,77;2,15;1,79;0,54;0,65;0,35;9,0;0,78;9,0;0,67;0,72
Suriname Major League;Suriname;96,0;96,0;2,99;0,59;0,19;0,01;1,24;1,5;1,49;0,5;0,52;0,48;20,0;0,55;15,0;0,47;0,51
North & Central America - World Cup Qualifying;International (North & Central America);95,0;95,0;3,2;0,62;0,15;0,44;1,2;1,82;1,38;0,57;0,4;0,6;42,0;0,43;24,0;0,38;0,4
Finland Kakkonen Group A;Finland;95,0;95,0;4,42;0,45;0,18;0,82;2,44;2,62;1,8;0,59;0,66;0,34;28,0;0,46;13,0;0,69;0,58
Zimbabwe Premier Soccer League;Zimbabwe;94,0;93,0;1,6;0,81;0,1;0,06;0,31;0,83;0,77;0,52;0,29;0,71;8,0;0,25;1,0;0,0;0,12
Australia Queensland Premier League Women;Australia;94,0;94,0;3,95;0,5;0,15;0,07;1,98;1,94;2,01;0,49;0,49;0,51;21,0;0,38;16,0;0,38;0,38
Italy Primavera Cup;Italy;94,0;94,0;3,15;0,56;0,13;1,04;1,37;2,1;1,05;0,67;0,57;0,43;15,0;0,4;0,0;0,0;0,2
Sweden Elitettan;Sweden;94,0;94,0;3,01;0,59;0,13;0,39;1,25;1,7;1,31;0,57;0,53;0,47;16,0;0,44;4,0;0,75;0,59
USA NPSL;USA;94,0;94,0;3,99;0,5;0,15;0,63;2,0;2,31;1,68;0,58;0,55;0,45;29,0;0,48;13,0;0,38;0,43
Mauritania Division 2;Mauritania;93,0;93,0;2,8;0,73;0,1;0,39;0,77;1,2;1,59;0,43;0,48;0,52;13,0;0,69;1,0;0,0;0,35
Womens World Cup Qual;International (World);93,0;93,0;3,28;0,69;0,16;0,72;1,01;2,0;1,28;0,61;0,4;0,6;39,0;0,33;29,0;0,59;0,46
Iceland Premier League Women;Iceland;93,0;93,0;3,94;0,48;0,17;0,45;2,07;2,19;1,74;0,56;0,67;0,33;16,0;0,56;18,0;0,61;0,59
Moldova Divizia Nationala;Moldova;91,0;91,0;2,93;0,59;0,16;0,03;1,2;1,48;1,45;0,51;0,47;0,53;26,0;0,62;18,0;0,28;0,45
Colombia Regional League;Colombia;91,0;91,0;4,01;0,59;0,19;0,03;1,65;1,99;2,02;0,5;0,64;0,36;6,0;0,83;5,0;0,6;0,72
Singapore Premier League;Singapore;90,0;90,0;3,7;0,5;0,14;0,17;1,85;1,77;1,93;0,48;0,58;0,42;26,0;0,69;21,0;0,33;0,51
England Isthmian Division One North;England;90,0;90,0;2,72;0,55;0,13;0,26;1,23;1,49;1,23;0,55;0,52;0,48;4,0;0,25;5,0;0,8;0,52
France Division 2 Women;France;90,0;90,0;2,62;0,53;0,13;0,24;1,24;1,43;1,19;0,55;0,53;0,47;6,0;0,67;3,0;0,67;0,67
Wales League Cup;Wales;90,0;90,0;3,63;0,52;0,17;0,37;1,74;2,0;1,63;0,55;0,61;0,39;21,0;0,71;11,0;0,45;0,58
Copa Libertadores Qualification;International (South America);89,0;89,0;2,18;0,69;0,09;0,36;0,68;1,27;0,91;0,58;0,46;0,54;38,0;0,66;1,0;1,0;0,83
Cambodia Cup;Cambodia;89,0;89,0;3,7;0,71;0,12;0,19;1,07;1,94;1,75;0,53;0,52;0,48;25,0;0,48;17,0;0,53;0,5
Republic of Ireland U20 League;Republic of Ireland;89,0;89,0;3,67;0,6;0,17;0,87;1,49;2,27;1,4;0,62;0,53;0,47;16,0;0,44;1,0;1,0;0,72
Brazil Campeonato Mineiro U20;Brazil;89,0;89,0;3,1;0,62;0,13;0,99;1,17;2,04;1,06;0,66;0,55;0,45;18,0;0,39;7,0;0,86;0,62
England FA National League Cup Women;England;88,0;88,0;3,32;0,51;0,14;0,18;1,64;1,75;1,57;0,53;0,52;0,48;16,0;0,56;11,0;0,36;0,46
Panama First Division Women;Panama;88,0;87,0;3,52;0,72;0,15;0,52;0,98;2,02;1,5;0,57;0,51;0,49;19,0;0,47;12,0;0,58;0,53
Australia Western Australia U23 League;Australia;88,0;88,0;3,55;0,55;0,17;0,55;1,59;2,05;1,5;0,58;0,66;0,34;2,0;1,0;0,0;0,0;0,5
Honduras Liga de Ascenso;Honduras;88,0;88,0;2,58;0,66;0,12;0,17;0,88;1,38;1,2;0,53;0,55;0,45;11,0;0,55;2,0;0,5;0,52
Australia Darwin Premier League;Australia;87,0;87,0;3,61;0,67;0,15;0,02;1,2;1,82;1,79;0,5;0,55;0,45;9,0;0,67;10,0;0,5;0,58
Turkey Cup;Turkey;87,0;87,0;2,79;0,64;0,14;0,33;1,0;1,56;1,23;0,56;0,46;0,54;28,0;0,5;13,0;0,54;0,52
Finland Kakkonen Group C;Finland;86,0;86,0;4,52;0,54;0,17;0,69;2,07;2,6;1,92;0,58;0,66;0,34;15,0;0,6;4,0;1,0;0,8
Finland Liigacup;Finland;86,0;86,0;3,2;0,51;0,16;0,22;1,56;1,71;1,49;0,53;0,59;0,41;13,0;0,62;5,0;0,2;0,41
Angola Girabola;Angola;86,0;86,0;2,07;0,72;0,12;0,28;0,58;1,17;0,9;0,57;0,4;0,6;23,0;0,43;5,0;0,4;0,42
Türkiye 3.Lig Group 2;Turkey;86,0;86,0;2,47;0,65;0,13;0,26;0,87;1,36;1,1;0,55;0,53;0,47;3,0;0,33;0,0;0,0;0,17
Israel Division 1 Women;Israel;86,0;85,0;3,49;0,67;0,16;0,26;1,15;1,87;1,62;0,54;0,45;0,55;27,0;0,48;21,0;0,43;0,46
Australia Tasmania Premier League;Australia;86,0;86,0;4,38;0,61;0,21;0,03;1,72;2,21;2,17;0,5;0,63;0,37;23,0;0,48;18,0;0,67;0,57
Portugal Cup Women;Portugal;85,0;85,0;3,46;0,61;0,16;0,54;1,36;2,0;1,46;0,58;0,45;0,55;28,0;0,54;26,0;0,27;0,4
Japan L2 League Women;Japan;85,0;85,0;2,39;0,73;0,11;0,2;0,66;1,09;1,29;0,46;0,4;0,6;7,0;0,57;11,0;0,55;0,56
Spain U19 Cup;Spain;85,0;85,0;3,13;0,63;0,14;0,85;1,15;1,99;1,14;0,64;0,58;0,42;16,0;0,56;0,0;0,0;0,28
Brazil Copa Rio;Brazil;84,0;84,0;1,87;0,7;0,1;0,13;0,55;1,0;0,87;0,54;0,31;0,69;11,0;0,27;7,0;0,43;0,35
Bosnia & Herzegovina Cup;Bosnia;84,0;84,0;2,67;0,66;0,15;0,45;0,92;1,56;1,11;0,58;0,37;0,63;24,0;0,38;19,0;0,42;0,4
Hong Kong U22 League;Hong Kong;84,0;84,0;3,35;0,57;0,16;0,04;1,43;1,65;1,69;0,49;0,61;0,39;8,0;0,5;9,0;0,78;0,64
Croatia Cup;Croatia;83,0;83,0;3,1;0,71;0,15;0,42;0,89;1,34;1,76;0,43;0,4;0,6;14,0;0,14;30,0;0,53;0,34
Iceland 3 Deild;Iceland;83,0;83,0;4,75;0,53;0,18;0,31;2,24;2,53;2,22;0,53;0,71;0,29;11,0;0,45;5,0;0,6;0,53
Norway Division 3 Group 4;Norway;83,0;83,0;4,45;0,45;0,18;0,57;2,43;2,51;1,94;0,56;0,76;0,24;11,0;0,55;4,0;1,0;0,77
Saudi Arabia Division 2;Saudi Arabia;82,0;82,0;2,66;0,6;0,13;0,44;1,07;1,55;1,11;0,58;0,62;0,38;10,0;0,4;4,0;0,75;0,57
Indonesia Liga 1;Indonesia;82,0;82,0;2,77;0,53;0,15;0,13;1,3;1,45;1,32;0,52;0,62;0,38;9,0;0,44;1,0;1,0;0,72
Hong Kong FA Cup Junior Division;Hong Kong;82,0;82,0;3,9;0,59;0,17;0,61;1,61;2,26;1,65;0,58;0,6;0,4;25,0;0,6;14,0;0,5;0,55
New Zealand Central League;New Zealand;82,0;82,0;3,87;0,55;0,15;0,3;1,73;1,78;2,09;0,46;0,55;0,45;16,0;0,69;23,0;0,39;0,54
Uganda Super League Women;Uganda;82,0;82,0;2,27;0,72;0,1;0,49;0,64;1,38;0,89;0,61;0,38;0,62;17,0;0,35;8,0;0,5;0,43
Malta FA Trophy;Malta;81,0;81,0;2,83;0,58;0,16;0,53;1,18;1,68;1,15;0,59;0,42;0,58;29,0;0,28;10,0;0,3;0,29
Switzerland U19 Elite;Switzerland;81,0;81,0;3,94;0,48;0,14;0,19;2,04;2,06;1,88;0,52;0,67;0,33;7,0;0,71;4,0;0,75;0,73
Nicaragua Clausura;Nicaragua;81,0;81,0;2,7;0,64;0,14;0,11;0,96;1,41;1,3;0,52;0,48;0,52;22,0;0,68;7,0;0,29;0,48
Australia SA Premier League Women;Australia;81,0;81,0;4,05;0,47;0,2;0,07;2,17;2,06;1,99;0,51;0,65;0,35;17,0;0,71;10,0;0,4;0,55
Brazil Serie A2 Women;Brazil;81,0;81,0;2,63;0,7;0,11;0,41;0,79;1,52;1,11;0,58;0,38;0,62;25,0;0,32;9,0;0,33;0,33
Denmark Elitedivisionen Women;Denmark;81,0;81,0;2,79;0,67;0,13;0,3;0,93;1,54;1,25;0,55;0,47;0,53;17,0;0,53;9,0;0,22;0,38
Saudi Arabia U21 League;Saudi Arabia;80,0;80,0;3,28;0,52;0,15;0,32;1,57;1,8;1,48;0,55;0,68;0,32;11,0;0,73;5,0;0,8;0,76
Kuwait League;Kuwait;80,0;80,0;2,79;0,71;0,13;0,34;0,8;1,56;1,23;0,56;0,54;0,46;16,0;0,56;12,0;0,58;0,57
Uruguay Cup;Uruguay;80,0;80,0;2,62;0,59;0,14;0,15;1,09;1,39;1,24;0,53;0,49;0,51;14,0;0,36;18,0;0,5;0,43
Costa Rica Primera Division Women;Costa Rica;79,0;79,0;3,48;0,64;0,15;0,75;1,24;2,11;1,37;0,61;0,46;0,54;32,0;0,53;14,0;0,36;0,44
England League Cup Women;England;79,0;79,0;3,44;0,6;0,16;0,15;1,39;1,65;1,8;0,48;0,54;0,46;23,0;0,61;19,0;0,58;0,59
Italy Campionato Primavera 4;Italy;79,0;78,0;3,43;0,57;0,14;0,14;1,48;1,78;1,65;0,52;0,65;0,35;12,0;0,75;1,0;1,0;0,88
Spain Tercera Group 17;Spain;78,0;78,0;2,29;0,68;0,12;0,09;0,74;1,1;1,19;0,48;0,45;0,55;8,0;0,38;3,0;0,67;0,52
Finland Kansallinen Liiga Women;Finland;78,0;78,0;3,82;0,58;0,17;0,74;1,6;2,28;1,54;0,6;0,56;0,44;24,0;0,54;15,0;0,53;0,54
Iran Pro League;Iran;77,0;77,0;1,78;0,89;0,12;0,19;0,2;0,99;0,79;0,55;0,4;0,6;18,0;0,5;3,0;0,67;0,58
Jordan Shield Cup;Jordan;77,0;77,0;2,26;0,66;0,11;0,13;0,76;1,19;1,06;0,53;0,48;0,52;12,0;0,75;10,0;0,3;0,52
Belgium Cup;Belgium;77,0;76,0;3,06;0,56;0,15;0,55;1,35;1,81;1,26;0,59;0,53;0,47;22,0;0,55;11,0;0,45;0,5
Northern Ireland Cup;North Ireland;76,0;76,0;3,01;0,52;0,17;0,3;1,44;1,66;1,36;0,55;0,5;0,5;26,0;0,42;16,0;0,38;0,4
Botswana Premier League;Botswana;76,0;76,0;2,29;0,76;0,11;0,26;0,55;1,28;1,01;0,56;0,41;0,59;19,0;0,37;5,0;0,4;0,38
China Super League Women;China;76,0;76,0;2,36;0,65;0,13;0,46;0,82;1,41;0,95;0,6;0,53;0,47;15,0;0,6;3,0;0,33;0,47
Senegal League Cup;Senegal;75,0;75,0;1,67;0,81;0,1;0,2;0,32;0,73;0,93;0,44;0,36;0,64;6,0;0,17;5,0;0,4;0,28
Costa Rica U21 League;Costa Rica;75,0;75,0;2,6;0,67;0,17;0,36;0,86;1,48;1,12;0,57;0,51;0,49;10,0;0,5;4,0;0,5;0,5
Slovakia I Liga Women;Slovakia;74,0;74,0;3,58;0,69;0,16;0,07;1,12;1,82;1,76;0,51;0,54;0,46;20,0;0,65;14,0;0,5;0,57
Jordan Division 1;Jordan;74,0;73,0;2,7;0,67;0,14;0,35;0,88;1,53;1,18;0,56;0,46;0,54;8,0;0,62;5,0;0,4;0,51
Uruguay Primera Division Amateur;Uruguay;74,0;73,0;2,53;0,76;0,14;0,04;0,62;1,28;1,24;0,51;0,34;0,66;10,0;0,2;7,0;0,43;0,31
Türkiye Womens League;Turkey;73,0;73,0;3,68;0,68;0,18;0,7;1,18;2,19;1,49;0,59;0,45;0,55;29,0;0,31;20,0;0,55;0,43
Brazil Campeonato Carioca U20;Brazil;73,0;72,0;2,59;0,64;0,12;0,32;0,92;1,45;1,14;0,56;0,41;0,59;16,0;0,31;6,0;0,83;0,57
Macau 1st Division;Macau;73,0;73,0;4,4;0,63;0,17;0,04;1,62;2,18;2,22;0,5;0,55;0,45;21,0;0,52;14,0;0,43;0,48
Brazil Campeonato Carioca A2;Brazil;73,0;73,0;1,84;0,64;0,09;0,03;0,67;0,93;0,9;0,51;0,44;0,56;2,0;0,5;0,0;0,0;0,25
UEFA Women's Champions League Qualifying;International (Europe);73,0;73,0;3,29;0,53;0,15;0,44;1,56;1,86;1,42;0,57;0,48;0,52;26,0;0,35;12,0;0,42;0,38
Bangladesh Premier League;Bangladesh;73,0;73,0;2,71;0,64;0,15;0,16;0,98;1,44;1,27;0,53;0,55;0,45;13,0;0,31;5,0;0,4;0,35
Israel Youth Cup;Israel;73,0;73,0;3,18;0,54;0,14;0,03;1,46;1,58;1,6;0,5;0,58;0,42;12,0;0,42;11,0;0,64;0,53
Greece Super League 2 U19;Greece;73,0;73,0;3,01;0,63;0,15;0,38;1,11;1,7;1,32;0,56;0,41;0,59;21,0;0,33;13,0;0,54;0,44
Wales Cup;Wales;72,0;72,0;3,78;0,55;0,16;0,42;1,69;2,1;1,68;0,56;0,6;0,4;23,0;0,52;14,0;0,93;0,73
Solomon Islands S League;Solomon Islands;72,0;72,0;3,81;0,59;0,12;0,33;1,57;2,07;1,74;0,54;0,6;0,4;20,0;0,55;8,0;0,75;0,65
USA USL W-League Women;USA;72,0;72,0;3,39;0,56;0,14;0,47;1,5;1,93;1,46;0,57;0,49;0,51;13,0;0,23;13,0;0,62;0,42
Brazil Campeonato Paulista;Brazil;72,0;72,0;2,33;0,61;0,09;0,64;0,91;1,49;0,85;0,64;0,42;0,58;21,0;0,33;5,0;0,8;0,57
Brazil Copa Verde;Brazil;72,0;71,0;2,94;0,7;0,12;0,78;0,87;1,86;1,08;0,63;0,51;0,49;26,0;0,5;2,0;0,5;0,5
Kyrgyzstan Top Liga;Kyrgyzstan;71,0;71,0;2,85;0,57;0,22;0,25;1,21;1,3;1,55;0,46;0,62;0,38;4,0;1,0;14,0;0,79;0,89
Denmark Future Cup;Denmark;71,0;71,0;3,93;0,5;0,17;0,01;1,96;1,97;1,96;0,5;0,7;0,3;6,0;0,67;1,0;1,0;0,83
Myanmar Cup;Myanmar;71,0;71,0;3,73;0,7;0,18;0,58;1,12;1,58;2,15;0,42;0,55;0,45;19,0;0,53;20,0;0,6;0,56
