DATA,Time,BTTS,IN LIVE?,Odd J,Odd M,Juice,EV,Stake,Lucro Max,Profit,Jogo,Liga,Região,Match ID,%_ProbMod,OBS
02/05/2026,00:00,Sim,,"2,28","2,25","0,00%","-1,32%","R$ 1,00","1,25","-R$ 1,00",Stevenage vs Wigan,,,,"43,86%",
02/05/2026,00:00,Sim,,"1,78","1,80","0,00%","1,12%","R$ 1,00","0,80","-R$ 1,00",Valencia vs Atletico Madrid,,,,"56,18%",
02/05/2026,00:00,Sim,,"2,71","2,75","0,00%","1,48%","R$ 1,00","1,75","R$ 1,75",Gimnastic vs Sevilla Atletico,,,,"36,90%",
02/05/2026,00:00,Sim,,"2,01","1,95","0,00%","-2,99%","R$ 1,00","0,95","R$ 0,95",FC Arouca vs Santa Clara,,,,"49,75%",
02/05/2026,00:00,Sim,,"1,86","1,83","0,00%","-1,61%","R$ 1,00","0,83","R$ 0,83",HNK Gorica vs Dinamo Zagreb,,,,"53,76%",
02/05/2026,00:00,Sim,,"1,83","1,83","0,00%","0,00%","R$ 1,00","0,83","R$ 0,83",Sutherland Sharks vs Marconi Stallions,,,,"54,64%",
02/05/2026,00:00,Sim,,"2,03","2,00","0,00%","-1,48%","R$ 1,00","1,00","R$ 1,00",Yanbian Longding vs Wuxi Wugo,,,,"49,26%",
02/05/2026,00:00,Sim,,"2,35","2,20","0,00%","-6,38%","R$ 1,00","1,20","R$ 1,20",Sagan Tosu vs Tegevajaro Miyazaki,,,,"42,55%",
02/05/2026,00:00,Sim,,"2,18","2,10","0,00%","-3,67%","R$ 1,00","1,10","R$ 1,10",Vegalta Sendai vs Blaublitz Akita,,,,"45,87%",
02/05/2026,00:00,Sim,,"1,75","1,83","0,00%","4,57%","R$ 1,00","0,83","R$ 0,83",Yokohama FC vs Sagamihara,,,,"57,14%",
02/05/2026,00:00,Sim,,"1,95","1,90","0,00%","-2,56%","R$ 1,00","0,90","-R$ 1,00",Nagano Parceiro vs Fujieda MYFC,,,,"51,28%",
02/05/2026,00:00,Sim,,"2,14","2,10","0,00%","-1,87%","R$ 1,00","1,10","R$ 1,10",Sohar Club vs Bahla,,,,"46,73%",
02/05/2026,00:00,Sim,,"2,11","2,10","0,00%","-0,47%","R$ 1,00","1,10","-R$ 1,00",Orijent vs NK Croatia Zmijavci,,,,"47,39%",
02/05/2026,00:00,Sim,,"2,16","2,10","0,00%","-2,78%","R$ 1,00","1,10","-R$ 1,00",FK Riteriai vs FK Transinvest,,,,"46,30%",
02/05/2026,00:00,Sim,,"2,01","1,90","0,00%","-5,47%","R$ 1,00","0,90","R$ 0,90",Sirius vs Kalmar FF,,,,"49,75%",
02/05/2026,00:00,Sim,,"2,04","2,10","0,00%","2,94%","R$ 1,00","1,10","-R$ 1,00",Karpaty Lviv vs LNZ Cherkasy,,,,"49,02%",
02/05/2026,00:00,Sim,,"2,01","2,05","0,00%","1,99%","R$ 1,00","1,05","-R$ 1,00",Grazer AK vs WSG Swarovski Tirol,,,,"49,75%",
02/05/2026,00:00,Sim,,"2,11","2,10","0,00%","-0,47%","R$ 1,00","1,10","-R$ 1,00",Orijent vs NK Croatia Zmijavci,,,,"47,39%",
02/05/2026,00:00,Sim,,"2,17","2,10","0,00%","-3,23%","R$ 1,00","1,10","R$ 1,10",Panserraikos vs Larissa,,,,"46,08%",
02/05/2026,00:00,Sim,,"1,90","1,80","0,00%","-5,26%","R$ 1,00","0,80","R$ 0,80",GIF Sundsvall vs IK Oddevold,,,,"52,63%",
02/05/2026,00:00,Sim,,"2,64","2,62","0,00%","-0,76%","R$ 1,00","1,62","-R$ 1,00",CODM Meknes vs MAS Fes,,,,"37,88%",
02/05/2026,00:00,Sim,S,"2,08","2,20","0,00%","5,77%","R$ 1,00","1,20","R$ 1,20",Cultural Leonesa vs Cadiz,,,,"48,08%",
02/05/2026,00:00,Sim,,"1,90","1,91","0,00%","0,53%","R$ 1,00","0,91","R$ 0,91",Eibar vs Malaga,,,,"52,63%",
02/05/2026,00:00,Sim,,"1,85","1,83","0,00%","-1,08%","R$ 1,00","0,83","-R$ 1,00",Real Madrid Castilla vs Unionistas de Salamanca CF,,,,"54,05%",
02/05/2026,00:00,Sim,,"1,79","1,80","0,00%","0,56%","R$ 1,00","0,80","-R$ 1,00",Betis Deportivo vs Antequera,,,,"55,87%",
02/05/2026,00:00,Sim,,"1,82","1,80","0,00%","-1,10%","R$ 1,00","0,80","R$ 0,80",Audax Italiano vs Union La Calera,,,,"54,95%",
02/05/2026,00:00,Sim,,"2,03","2,20","0,00%","8,37%","R$ 1,00","1,20","R$ 1,20",San Lorenzo vs Independiente,,,,"49,26%",
02/05/2026,00:00,Sim,,"2,53","2,62","0,00%","3,56%","R$ 1,00","1,62","R$ 1,62",CA Estudiantes Caseros vs CA San Telmo,,,,"39,53%",
02/05/2026,00:00,Sim,,"2,54","2,62","0,00%","3,15%","R$ 1,00","1,62","-R$ 1,00",Deportivo Camioneros vs CSD Flandria,,,,"39,37%",
02/05/2026,00:00,Sim,,"2,18","2,50","0,00%","14,68%","R$ 1,00","1,50","R$ 1,50",Real Pilar vs Argentino Merlo,,,,"45,87%",
02/05/2026,00:00,Sim,,"2,19","2,75","0,00%","25,57%","R$ 1,00","1,75","-R$ 1,00",Sportivo Italiano vs Deportivo Armenio,,,,"45,66%",
02/05/2026,00:00,Sim,,"2,19","2,25","0,00%","2,74%","R$ 1,00","1,25","-R$ 1,00",Deportivo Merlo vs Argentino Quilmes,,,,"45,66%",
02/05/2026,00:00,Sim,,"2,37","2,50","0,00%","5,49%","R$ 1,00","1,50","-R$ 1,00",Independiente Chivilcoy vs Sportivo Belgrano,,,,"42,19%",
02/05/2026,00:00,Sim,,"2,60","2,75","0,00%","5,77%","R$ 1,00","1,75","-R$ 1,00",Central Cordoba Rosario vs Fenix,,,,"38,46%",
02/05/2026,00:00,Sim,,"2,15","2,25","0,00%","4,65%","R$ 1,00","1,25","-R$ 1,00",Deportivo Paraguayo vs Defensores de Cambaceres,,,,"46,51%",
02/05/2026,00:00,Sim,,"1,95","2,00","0,00%","2,56%","R$ 1,00","1,00","R$ 1,00",North Carolina Courage (W) vs Kansas City Current (W),,,,"51,28%",
02/05/2026,00:00,Sim,,"2,02","2,00","0,00%","-0,99%","R$ 1,00","1,00","-R$ 1,00",Liverpool Montevideo vs Danubio,,,,"49,50%",
02/05/2026,00:00,Sim,,"1,97","2,00","0,00%","1,52%","R$ 1,00","1,00","-R$ 1,00",America RJ vs Pouso Alegre,,,,"50,76%",
02/05/2026,00:00,Sim,,"1,89","1,90","0,00%","0,53%","R$ 1,00","0,90","R$ 0,90",Botafogo vs Remo,,,,"52,91%",
02/05/2026,00:00,Sim,,"2,05","2,10","0,00%","2,44%","R$ 1,00","1,10","-R$ 1,00",Agua Santa vs Portuguesa RJ,,,,"48,78%",
02/05/2026,00:00,Sim,,"2,23","2,20","0,00%","-1,35%","R$ 1,00","1,20","R$ 1,20",Fortaleza vs Goias,,,,"44,84%",
02/05/2026,00:00,Sim,,"2,14","2,20","0,00%","2,80%","R$ 1,00","1,20","-R$ 1,00",Confianca vs Inter de Limeira,,,,"46,73%",
