League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Gibraltar Cup;Gibraltar;17,0;17,0;3,59;0,62;0,29;1,35;1,94;1,65;0,54;0,35;0,65;5,0;0,4;3,0;0,0;0,2
Switzerland 2. Liga Interregional;Switzerland;17,0;17,0;4,12;0,5;1,29;2,06;2,71;1,41;0,66;0,76;0,24;3,0;1,0;0,0;0,0;0,5
Denmark Division 2 Women;Denmark;17,0;17,0;3,53;0,57;0,71;1,53;2,12;1,41;0,6;0,65;0,35;3,0;0,67;2,0;1,0;0,83
Italy Serie A Cup Women;Italy;17,0;17,0;2,82;0,49;0,12;1,44;1,47;1,35;0,52;0,59;0,41;4,0;1,0;3,0;0,67;0,83
Argentina Regional League;Argentina;17,0;17,0;3,12;0,48;0,76;1,62;1,94;1,18;0,62;0,59;0,41;2,0;0,5;1,0;1,0;0,75
USA UPSL;USA;17,0;17,0;4,76;0,36;0,76;3,05;2,76;2,0;0,58;0,88;0,12;2,0;1,0;0,0;0,0;0,5
Syria Division 1;Syria;17,0;17,0;3,18;0,67;0,47;1,05;1,82;1,35;0,57;0,65;0,35;3,0;1,0;0,0;0,0;0,5
Australia Tasmania Super League Women;Australia;17,0;17,0;4,71;0,66;0,12;1,61;2,29;2,41;0,49;0,47;0,53;4,0;0,25;3,0;0,33;0,29
Croatia U19 Cup;Croatia;16,0;16,0;3,12;0,58;0,25;1,3;1,44;1,69;0,46;0,69;0,31;2,0;0,5;0,0;0,0;0,25
Norway Division 3 Group 4;Norway;16,0;16,0;4,31;0,47;0,44;2,29;2,38;1,94;0,55;0,75;0,25;0,0;0,0;0,0;0,0;0,0
New Zealand Cup Women;New Zealand;16,0;16,0;3,62;0,59;0,5;1,47;1,56;2,06;0,43;0,56;0,44;3,0;1,0;3,0;1,0;1,0
Ghana Super Cup;Ghana;16,0;16,0;2,38;0,84;0,25;0,38;1,06;1,31;0,45;0,44;0,56;0,0;0,0;0,0;0,0;0,0
New Zealand National League Women;New Zealand;16,0;16,0;3,94;0,68;1,31;1,24;2,62;1,31;0,67;0,19;0,81;7,0;0,29;2,0;0,5;0,39
COSAFA Champions League Women;International (Africa);16,0;16,0;3,75;0,73;1,5;1,01;2,62;1,12;0,7;0,44;0,56;9,0;0,56;1,0;1,0;0,78
nan;Jamaica;16,0;16,0;2,19;0,67;0,19;0,72;1,19;1,0;0,54;0,5;0,5;2,0;1,0;2,0;0,5;0,75
African Games;International (Africa);16,0;16,0;1,88;0,97;0,5;0,05;1,19;0,69;0,63;0,31;0,69;1,0;0,0;1,0;0,0;0,0
Australia WA Premier League Women;Australia;16,0;16,0;3,19;0,56;1,19;1,39;2,19;1,0;0,69;0,38;0,62;6,0;0,17;3,0;0,33;0,25
U20 International;International (World);16,0;16,0;2,69;0,68;0,56;0,87;1,62;1,06;0,6;0,5;0,5;4,0;0,5;0,0;0,0;0,25
Iraq U21 League;Iraq;16,0;16,0;4,12;0,5;0,0;2,06;2,06;2,06;0,5;0,75;0,25;2,0;1,0;0,0;0,0;0,5
Ecuador Primera Women;Ecuador;16,0;16,0;4,75;0,69;1,88;1,49;3,31;1,44;0,7;0,44;0,56;7,0;0,57;5,0;0,4;0,49
Brazil Copa Alagoas U20;Brazil;15,0;15,0;2,6;0,71;0,47;0,76;1,53;1,07;0,59;0,47;0,53;5,0;0,6;5,0;0,6;0,6
Nicaragua Liga de Ascenso;Nicaragua;15,0;15,0;3,8;0,61;0,07;1,49;1,87;1,93;0,49;0,6;0,4;2,0;0,0;3,0;0,67;0,33
Uruguay Copa de la Liga;Uruguay;15,0;13,0;1,93;0,77;0,07;0,45;1,0;0,93;0,52;0,47;0,53;0,0;0,0;2,0;1,0;0,5
