League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Wales Championship South;Wales;147,0;147,0;3,24;0,61;0,2;1,27;1,72;1,52;0,53;0,5;0,5;22,0;0,36;10,0;0,7;0,53
Colombia Primera B;Colombia;147,0;146,0;2,23;0,59;0,08;0,91;1,16;1,07;0,52;0,5;0,5;38,0;0,55;0,0;0,0;0,28
Brazil Campeonato Paulista A2;Brazil;146,0;145,0;2,37;0,69;0,18;0,73;1,27;1,1;0,54;0,51;0,49;8,0;0,62;0,0;0,0;0,31
Greece Super League 2;Greece;146,0;145,0;2,08;0,69;0,3;0,65;1,19;0,89;0,57;0,34;0,66;49,0;0,33;26,0;0,46;0,39
Czechia Cup;Czech Republic;146,0;146,0;3,62;0,57;1,37;1,54;1,12;2,49;0,31;0,52;0,48;13,0;0,69;62,0;0,44;0,56
Egypt League Cup;Egypt;146,0;146,0;2,18;0,68;0,06;0,7;1,12;1,06;0,51;0,42;0,58;18,0;0,33;10,0;0,4;0,37
Gambia GFA League;Gambia;145,0;138,0;1,74;0,87;0,0;0,23;0,87;0,87;0,5;0,38;0,62;5,0;0,8;0,0;0,0;0,4
El Salvador Reserves League;El Salvador;145,0;145,0;3,14;0,7;0,41;0,94;1,78;1,37;0,57;0,61;0,39;19,0;0,79;5,0;1,0;0,89
UAE Division 1;UAE;145,0;144,0;2,97;0,61;0,04;1,14;1,46;1,5;0,49;0,55;0,45;16,0;0,44;10,0;0,6;0,52
Kenya Super League;Kenya;144,0;143,0;2,18;0,67;0,51;0,71;1,35;0,83;0,62;0,41;0,59;24,0;0,54;0,0;0,0;0,27
Scotland Premiership;Scotland;144,0;144,0;2,78;0,62;0,46;1,05;1,62;1,16;0,58;0,5;0,5;37,0;0,41;12,0;0,58;0,49
Bulgaria First League;Bulgaria;144,0;144,0;2,25;0,73;0,04;0,62;1,15;1,1;0,51;0,38;0,62;42,0;0,4;20,0;0,5;0,45
Wales Championship North;Wales;144,0;144,0;3,49;0,52;0,9;1,68;2,19;1,3;0,63;0,58;0,42;25,0;0,64;14,0;0,64;0,64
Israel Premier League;Israel;143,0;143,0;2,97;0,61;0,13;1,15;1,55;1,42;0,52;0,56;0,44;31,0;0,68;14,0;0,64;0,66
CONCACAF Champions Cup;International (North & Central America);143,0;143,0;2,87;0,59;0,61;1,19;1,74;1,13;0,61;0,49;0,51;55,0;0,45;18,0;0,33;0,39
Nigeria Premier League;Nigeria;143,0;141,0;1,94;0,75;0,87;0,49;1,41;0,54;0,72;0,38;0,62;107,0;0,43;0,0;0,0;0,21
Spain Primera Women;Spain;143,0;143,0;2,95;0,69;0,17;0,92;1,56;1,39;0,53;0,38;0,62;49,0;0,39;29,0;0,41;0,4
America Friendlies;International (World);142,0;142,0;2,89;0,61;0,39;1,14;1,64;1,25;0,57;0,64;0,36;14,0;0,57;6,0;0,33;0,45
Indonesia Championship;Indonesia;141,0;141,0;2,6;0,7;0,47;0,78;1,53;1,06;0,59;0,55;0,45;38,0;0,61;8,0;0,62;0,62
Mexico Liga MX U19;Mexico;141,0;140,0;2,89;0,63;0,23;1,07;1,56;1,33;0,54;0,62;0,38;5,0;0,4;0,0;0,0;0,2
Greece Super League 1;Greece;141,0;141,0;2,35;0,64;0,18;0,84;1,27;1,09;0,54;0,42;0,58;40,0;0,48;23,0;0,35;0,41
Australia A-League;Australia;141,0;141,0;2,88;0,55;0,11;1,28;1,5;1,38;0,52;0,6;0,4;9,0;0,89;0,0;0,0;0,44
Egypt Division 2;Egypt;140,0;138,0;2,01;0,69;0,16;0,63;1,09;0,92;0,54;0,44;0,56;13,0;0,54;0,0;0,0;0,27
Poland Cup;Poland;140,0;140,0;2,71;0,63;0,33;1,0;1,19;1,52;0,44;0,54;0,46;10,0;0,7;41,0;0,51;0,61
Panama Liga Prom;Panama;140,0;139,0;3,29;0,58;0,31;1,37;1,8;1,49;0,55;0,6;0,4;20,0;0,65;3,0;0,67;0,66
Poland I Liga;Poland;139,0;139,0;2,79;0,53;0,19;1,31;1,49;1,3;0,53;0,65;0,35;10,0;0,8;1,0;0,0;0,4
Iceland League Cup;Iceland;139,0;139,0;4,01;0,5;0,5;2,03;2,26;1,76;0,56;0,65;0,35;51,0;0,63;11,0;0,73;0,68
Burkina Faso League;Burkina Faso;139,0;134,0;1,72;0,83;0,11;0,28;0,91;0,81;0,53;0,32;0,68;11,0;0,45;2,0;1,0;0,73
Japan J-League Cup;Japan;139,0;139,0;2,59;0,64;0,2;0,92;1,19;1,4;0,46;0,56;0,44;5,0;0,4;18,0;0,56;0,48
Mexico Liga de Expansion;Mexico;139,0;138,0;2,71;0,63;0,73;1,0;1,72;0,99;0,63;0,55;0,45;25,0;0,56;1,0;1,0;0,78
Algeria Cup;Algeria;138,0;138,0;2,12;0,69;0,47;0,67;1,3;0,83;0,61;0,36;0,64;59,0;0,37;18,0;0,28;0,33
Switzerland Super League;Switzerland;138,0;138,0;3,18;0,58;0,24;1,35;1,71;1,47;0,54;0,66;0,34;18,0;0,67;3,0;0,67;0,67
Algeria Division 1;Algeria;137,0;137,0;2,27;0,69;0,47;0,71;1,37;0,9;0,6;0,44;0,56;49,0;0,51;1,0;0,0;0,26
Czechia First League;Czech Republic;136,0;136,0;2,74;0,63;0,25;1,0;1,49;1,24;0,55;0,46;0,54;27,0;0,59;10,0;0,6;0,6
Algeria U20 League;Algeria;135,0;135,0;3,34;0,66;0,7;1,15;2,02;1,32;0,61;0,51;0,49;31,0;0,52;14,0;0,71;0,62
Ecuador LigaPro Serie A;Ecuador;135,0;135,0;2,21;0,68;0,49;0,72;1,35;0,86;0,61;0,41;0,59;36,0;0,5;3,0;0,33;0,42
Leagues Cup;International (North & Central America);135,0;135,0;3,01;0,52;0,62;1,43;1,81;1,19;0,6;0,64;0,36;30,0;0,6;0,0;0,0;0,3
Bolivia Copa Division Profesional;Bolivia;133,0;132,0;3,44;0,55;0,71;1,54;2,08;1,36;0,6;0,62;0,38;41,0;0,76;3,0;0,67;0,71
England National League Cup;England;133,0;133,0;3,44;0,48;0,28;1,79;1,86;1,58;0,54;0,63;0,37;1,0;1,0;0,0;0,0;0,5
Serbia Prva Liga;Serbia;132,0;132,0;2,2;0,65;0,33;0,78;1,27;0,94;0,57;0,41;0,59;17,0;0,59;0,0;0,0;0,29
Germany DFB Pokal;Germany;131,0;131,0;3,12;0,58;0,82;1,31;1,15;1,97;0,37;0,47;0,53;16,0;0,56;58,0;0,47;0,51
Greece Cup;Greece;131,0;130,0;2,42;0,68;0,51;0,77;1,47;0,95;0,61;0,45;0,55;40,0;0,45;26,0;0,54;0,49
Tunisia League 2;Tunisia;131,0;129,0;2,21;0,69;0,57;0,67;1,39;0,82;0,63;0,42;0,58;41,0;0,39;1,0;0,0;0,2
Uganda Premier League;Uganda;130,0;130,0;1,98;0,81;0,45;0,37;1,22;0,77;0,61;0,33;0,67;36,0;0,22;11,0;0,27;0,25
Peru Liga 1;Peru;130,0;130,0;2,71;0,59;0,71;1,11;1,71;1,0;0,63;0,57;0,43;44,0;0,52;1,0;0,0;0,26
Argentina Primera C Metropolitana;Argentina;130,0;129,0;1,89;0,8;0,09;0,38;0,9;0,99;0,48;0,42;0,58;8,0;0,75;0,0;0,0;0,38
Qatar Stars Cup;Qatar;130,0;130,0;3,33;0,54;0,52;1,54;1,92;1,41;0,58;0,62;0,38;11,0;0,55;5,0;0,8;0,67
Egypt Second Division B;Egypt;130,0;130,0;2,38;0,69;0,27;0,73;1,32;1,05;0,56;0,48;0,52;19,0;0,68;1,0;1,0;0,84
Israel League Cup;Israel;129,0;128,0;2,77;0,57;0,02;1,18;1,4;1,37;0,5;0,58;0,42;8,0;0,88;2,0;0,5;0,69
England Southern Premier League Central;England;129,0;129,0;2,98;0,6;0,16;1,19;1,57;1,41;0,53;0,49;0,51;11,0;0,27;4,0;0,5;0,39
Czech Cup;Czech Republic;128,0;128,0;3,39;0,54;0,77;1,56;1,31;2,08;0,39;0,55;0,45;4,0;0,5;54,0;0,57;0,54
Italy Serie C Cup;Italy;128,0;128,0;2,36;0,61;0,25;0,92;1,3;1,05;0,55;0,5;0,5;13,0;0,46;1,0;0,0;0,23
Austria Cup;Austria;128,0;128,0;3,55;0,56;1,23;1,58;1,16;2,39;0,33;0,49;0,51;14,0;0,86;69,0;0,41;0,63
South Africa Diski Challenge;South Africa;127,0;127,0;2,91;0,56;0,14;1,27;1,53;1,39;0,52;0,57;0,43;24,0;0,54;3,0;0,67;0,6
England FA Cup Women;England;127,0;126,0;3,61;0,57;0,53;1,54;2,07;1,54;0,57;0,47;0,53;54,0;0,48;26,0;0,42;0,45
Honduras Liga Nacional;Honduras;127,0;125,0;2,77;0,62;0,2;1,06;1,49;1,28;0,54;0,56;0,44;26,0;0,65;2,0;0,5;0,58
Japan FA Cup;Japan;126,0;125,0;2,9;0,61;0,45;1,13;1,67;1,22;0,58;0,55;0,45;42,0;0,55;11,0;0,73;0,64
Chile Liga de Primera;Chile;126,0;126,0;2,63;0,67;0,46;0,86;1,55;1,09;0,59;0,46;0,54;18,0;0,67;0,0;0,0;0,33
Malaysia President Cup;Malaysia;125,0;125,0;2,63;0,67;0,47;0,88;1,55;1,08;0,59;0,44;0,56;33,0;0,52;20,0;0,4;0,46
Bulgaria Second League;Bulgaria;125,0;122,0;2,52;0,7;0,3;0,75;1,41;1,11;0,56;0,4;0,6;35,0;0,46;5,0;0,4;0,43
Honduras Reserve League;Honduras;125,0;125,0;3,71;0,59;0,38;1,52;2,05;1,66;0,55;0,62;0,38;20,0;0,6;8,0;0,75;0,68
Türkiye 3.Lig Group 1;Turkey;125,0;125,0;2,38;0,71;0,23;0,69;1,3;1,07;0,55;0,48;0,52;16,0;0,5;5,0;0,6;0,55
Paraguay Division Profesional;Paraguay;125,0;125,0;2,42;0,66;0,21;0,81;1,31;1,1;0,54;0,48;0,52;11,0;0,36;4,0;0,25;0,31
Thailand Cup;Thailand;124,0;123,0;3,32;0,8;0,29;0,67;1,81;1,52;0,54;0,47;0,53;36,0;0,42;25,0;0,6;0,51
Romania Liga 2;Romania;124,0;124,0;2,5;0,65;0,34;0,87;1,42;1,08;0,57;0,43;0,57;23,0;0,48;8,0;0,5;0,49
South Africa Premier;South Africa;123,0;122,0;2,08;0,72;0,26;0,59;1,17;0,91;0,56;0,4;0,6;22,0;0,45;10,0;0,4;0,43
South Africa National Div 2;South Africa;123,0;123,0;2,41;0,63;0,2;0,89;1,3;1,11;0,54;0,46;0,54;12,0;0,58;5,0;0,6;0,59
Iceland Cup Women;Iceland;123,0;123,0;4,33;0,51;0,35;2,14;2,34;1,99;0,54;0,65;0,35;24,0;0,58;18,0;0,67;0,62
Costa Rica Segunda;Costa Rica;123,0;123,0;2,83;0,62;0,62;1,07;1,72;1,11;0,61;0,56;0,44;13,0;0,38;0,0;0,0;0,19
Spain Tercera Group 2;Spain;123,0;123,0;2,42;0,68;0,42;0,77;1,42;1,0;0,59;0,41;0,59;29,0;0,38;16,0;0,31;0,35
Scotland League Two;Scotland;123,0;123,0;2,85;0,51;0,16;1,4;1,5;1,34;0,53;0,59;0,41;8,0;0,38;1,0;0,0;0,19
UAE Cup;UAE;122,0;122,0;2,75;0,67;0,21;0,92;1,48;1,27;0,54;0,48;0,52;22,0;0,59;9,0;0,22;0,41
Brazil Campeonato Paulista A3;Brazil;121,0;121,0;2,17;0,59;0,24;0,88;1,21;0,97;0,56;0,4;0,6;19,0;0,37;0,0;0,0;0,18
UEFA Europa League;International (Europe);121,0;121,0;2,78;0,6;0,38;1,11;1,58;1,2;0,57;0,5;0,5;37,0;0,51;6,0;0,5;0,51
Poland II Liga;Poland;121,0;120,0;2,88;0,57;0,14;1,25;1,51;1,37;0,52;0,55;0,45;11,0;0,73;2,0;0,5;0,61
Senegal Premier League;Senegal;121,0;120,0;1,55;0,87;0,21;0,21;0,88;0,67;0,57;0,33;0,67;5,0;0,4;0,0;0,0;0,2
Hungary NB I;Hungary;121,0;121,0;2,83;0,57;0,11;1,22;1,47;1,36;0,52;0,55;0,45;20,0;0,65;7,0;0,71;0,68
Indonesia U20 League;Indonesia;120,0;120,0;3,25;0,6;0,37;1,31;1,81;1,44;0,56;0,51;0,49;34,0;0,59;18,0;0,28;0,43
Scotland League One;Scotland;120,0;120,0;2,68;0,57;0,35;1,15;1,52;1,17;0,57;0,55;0,45;17,0;0,59;6,0;0,33;0,46
Brazil Campeonato Paulista A4;Brazil;120,0;120,0;1,91;0,73;0,22;0,52;1,07;0,84;0,56;0,35;0,65;8,0;0,5;0,0;0,0;0,25
Slovenia Cup;Slovenia;120,0;120,0;3,7;0,72;0,65;1,03;1,52;2,17;0,41;0,49;0,51;19,0;0,47;41,0;0,54;0,51
Spain Tercera Group 18;Spain;119,0;119,0;2,17;0,69;0,47;0,68;1,32;0,85;0,61;0,37;0,63;31,0;0,29;5,0;0,4;0,35
Italy Campionato Primavera 1;Italy;119,0;119,0;2,66;0,66;0,42;0,9;1,54;1,12;0,58;0,56;0,44;4,0;0,5;0,0;0,0;0,25
El Salvador Clausura;El Salvador;118,0;118,0;2,6;0,61;0,04;1,01;1,32;1,28;0,51;0,52;0,48;20,0;0,7;6,0;0,5;0,6
Israel Liga Bet North;Israel;118,0;118,0;3,25;0,62;0,43;1,23;1,84;1,41;0,57;0,47;0,53;35,0;0,34;17,0;0,65;0,49
Azerbaijan Premier League;Azerbaijan;118,0;118,0;2,64;0,69;0,05;0,83;1,35;1,3;0,51;0,47;0,53;28,0;0,61;18,0;0,61;0,61
Spain Tercera Group 4;Spain;118,0;118,0;2,62;0,62;0,5;0,99;1,56;1,06;0,6;0,4;0,6;13,0;0,38;0,0;0,0;0,19
UEFA Women's Champions League;International (Europe);117,0;117,0;3,48;0,51;0,47;1,69;1,97;1,5;0,57;0,48;0,52;44,0;0,41;32,0;0,56;0,49
Ghana Premier League;Ghana;117,0;116,0;1,93;0,79;0,55;0,4;1,24;0,69;0,64;0,36;0,64;47,0;0,36;1,0;0,0;0,18
Australia Cup Qualifying;Australia;117,0;117,0;3,69;0,53;0,15;1,74;1,92;1,77;0,52;0,62;0,38;24,0;0,67;20,0;0,55;0,61
Netherlands Derde Divisie;Netherlands;117,0;117,0;3,26;0,55;0,27;1,46;1,77;1,5;0,54;0,6;0,4;7,0;0,71;3,0;0,67;0,69
Israel Liga Alef South;Israel;117,0;117,0;2,91;0,56;0,1;1,29;1,5;1,4;0,52;0,57;0,43;7,0;0,57;1,0;0,0;0,29
Ethiopia Premier League Women;Ethiopia;117,0;116,0;2,51;0,62;0,05;0,94;1,28;1,23;0,51;0,38;0,62;34,0;0,26;25,0;0,36;0,31
Spain Tercera Group 10;Spain;116,0;116,0;2,62;0,63;0,43;0,96;1,53;1,09;0,58;0,48;0,52;14,0;0,43;1,0;0,0;0,21
Paraguay Reserve League;Paraguay;116,0;116,0;3,31;0,59;0,34;1,36;1,83;1,48;0,55;0,57;0,43;15,0;0,73;10,0;0,5;0,62
Spain Primera Federacion Women;Spain;116,0;116,0;2,55;0,57;0,34;1,09;1,45;1,1;0,57;0,52;0,48;27,0;0,44;7,0;0,29;0,37
Ukraine Vyscha Liga;Ukraine;116,0;116,0;2,58;0,69;0,18;0,8;1,38;1,2;0,54;0,39;0,61;28,0;0,36;14,0;0,5;0,43
Costa Rica Primera Division;Costa Rica;116,0;114,0;2,58;0,62;0,27;0,98;1,42;1,16;0,55;0,53;0,47;25,0;0,52;0,0;0,0;0,26
Spain Tercera Group 15;Spain;116,0;116,0;2,49;0,61;0,44;0,96;1,47;1,03;0,59;0,59;0,41;15,0;0,73;1,0;0,0;0,37
Scotland Championship;Scotland;114,0;113,0;2,46;0,68;0,38;0,8;1,42;1,04;0,58;0,46;0,54;15,0;0,47;3,0;0,67;0,57
CONCACAF Central American Cup;International (North & Central America);114,0;114,0;2,72;0,68;0,54;0,86;1,63;1,09;0,6;0,55;0,45;19,0;0,58;6,0;1,0;0,79
Israel Liga Alef North;Israel;114,0;114,0;2,84;0,64;0,04;1,02;1,4;1,44;0,49;0,57;0,43;10,0;0,8;4,0;0,75;0,78
Argentina Torneo A;Argentina;114,0;114,0;2,09;0,73;0,47;0,57;1,28;0,81;0,61;0,45;0,55;35,0;0,63;1,0;1,0;0,81
Spain Copa Federacion;Spain;113,0;113,0;2,63;0,68;0,29;0,84;1,46;1,17;0,56;0,49;0,51;10,0;0,4;6,0;0,33;0,37
Hungary NB II;Hungary;113,0;113,0;2,51;0,6;0,11;1,01;1,31;1,2;0,52;0,46;0,54;16,0;0,56;3,0;0,0;0,28
Mali Premiere Division;Mali;112,0;110,0;1,75;0,66;0,05;0,6;0,9;0,85;0,52;0,31;0,69;17,0;0,35;6,0;0,17;0,26
Indonesia Liga Nusantara;Indonesia;111,0;111,0;2,38;0,55;0,05;1,06;1,16;1,22;0,49;0,54;0,46;6,0;0,83;4,0;0,75;0,79
Slovakia 3. Liga;Slovakia;111,0;111,0;3,16;0,56;0,41;1,41;1,78;1,38;0,56;0,61;0,39;20,0;0,7;1,0;0,0;0,35
Egypt Cup;Egypt;111,0;111,0;1,95;0,77;0,71;0,46;1,33;0,62;0,68;0,38;0,62;46,0;0,39;1,0;0,0;0,2
Germany Landespokal;Germany;111,0;111,0;3,45;0,6;0,62;1,37;1,41;2,04;0,41;0,48;0,52;10,0;0,2;43,0;0,42;0,31
Wales Premier League;Wales;110,0;110,0;2,77;0,62;0,06;1,06;1,42;1,35;0,51;0,53;0,47;21,0;0,67;12,0;0,33;0,5
Austria 2. Liga;Austria;110,0;110,0;2,55;0,64;0,25;0,91;1,4;1,15;0,55;0,49;0,51;15,0;0,67;4,0;0,75;0,71
Iceland Cup;Iceland;110,0;110,0;4,6;0,48;0,29;2,41;2,45;2,15;0,53;0,69;0,31;31,0;0,68;27,0;0,74;0,71
Hong Kong 1st Division;Hong Kong;110,0;110,0;3,79;0,6;0,01;1,51;1,89;1,9;0,5;0,51;0,49;26,0;0,5;28,0;0,57;0,54
Malta Premier League;Malta;110,0;109,0;2,49;0,66;0,44;0,85;1,46;1,03;0,59;0,54;0,46;11,0;0,45;4,0;0,25;0,35
Germany Bundesliga Women;Germany;109,0;109,0;3,41;0,52;0,04;1,63;1,72;1,69;0,51;0,61;0,39;33,0;0,67;22,0;0,55;0,61
China FA Cup;China;109,0;109,0;2,78;0,64;0,63;1,01;1,07;1,71;0,39;0,43;0,57;7,0;0,29;47,0;0,47;0,38
Australia A-League Women;Australia;108,0;108,0;2,75;0,63;0,25;1,01;1,5;1,25;0,55;0,56;0,44;10,0;0,4;4,0;0,75;0,57
Austria Bundesliga;Austria;108,0;108,0;2,65;0,6;0,31;1,07;1,48;1,17;0,56;0,6;0,4;3,0;0,67;1,0;1,0;0,83
Cyprus Division 2;Cyprus;107,0;107,0;2,64;0,61;0,06;1,03;1,35;1,29;0,51;0,52;0,48;23,0;0,65;8,0;0,38;0,51
Austria Regionalliga Ost;Austria;107,0;107,0;2,99;0,66;0,28;1,0;1,64;1,36;0,55;0,47;0,53;14,0;0,36;3,0;0,33;0,35
USA MLS Next Pro League;USA;106,0;106,0;3,25;0,55;0,47;1,47;1,86;1,39;0,57;0,64;0,36;4,0;0,75;0,0;0,0;0,38
Thailand League Cup;Thailand;105,0;105,0;2,92;0,62;0,58;1,11;1,17;1,75;0,4;0,46;0,54;17,0;0,47;27,0;0,56;0,51
Denmark Cup;Denmark;105,0;105,0;3,33;0,52;0,29;1,6;1,52;1,81;0,46;0,58;0,42;13,0;0,46;41,0;0,63;0,55
Croatia HNL;Croatia;105,0;105,0;2,7;0,6;0,2;1,07;1,45;1,25;0,54;0,52;0,48;22,0;0,68;5,0;0,4;0,54
Italy Campionato Primavera 3;Italy;105,0;105,0;3,32;0,53;0,39;1,56;1,86;1,47;0,56;0,58;0,42;9,0;0,67;1,0;1,0;0,83
Malta Challenge League;Malta;105,0;105,0;3,41;0,54;0,06;1,57;1,73;1,68;0,51;0,61;0,39;12,0;0,67;17,0;0,47;0,57
UEFA Conference League;International (Europe);104,0;104,0;2,48;0,54;0,58;1,14;1,53;0,95;0,62;0,47;0,53;33,0;0,45;10,0;0,5;0,48
Tunisia League 1;Tunisia;104,0;104,0;1,71;0,77;0,6;0,39;1,15;0,56;0,67;0,27;0,73;34,0;0,18;6,0;0,67;0,42
Albania Championship;Albania;104,0;103,0;2,18;0,7;0,22;0,66;1,2;0,98;0,55;0,49;0,51;10,0;0,7;3,0;0,67;0,68
Spain Tercera Group 3;Spain;104,0;104,0;2,68;0,58;0,34;1,12;1,51;1,17;0,56;0,41;0,59;28,0;0,36;5,0;0,2;0,28
Uruguay Apertura;Uruguay;104,0;104,0;2,48;0,61;0,23;0,97;1,36;1,12;0,55;0,53;0,47;11,0;0,82;7,0;0,57;0,69
Slovakia Super Liga;Slovakia;104,0;104,0;2,67;0,58;0,25;1,12;1,46;1,21;0,55;0,49;0,51;17,0;0,65;3,0;0,33;0,49
Spain Tercera Group 8;Spain;104,0;104,0;2,39;0,61;0,26;0,92;1,33;1,07;0,55;0,53;0,47;23,0;0,39;1,0;1,0;0,7
Africa Cup of Nations;International (Africa);104,0;104,0;2,26;0,64;0,34;0,81;1,3;0,96;0,57;0,46;0,54;30,0;0,57;22,0;0,45;0,51
Switzerland 1.Liga Classic;Switzerland;103,0;103,0;3,17;0,57;0,25;1,35;1,71;1,46;0,54;0,59;0,41;11,0;0,55;3,0;1,0;0,77
Spain Copa De La Reina;Spain;103,0;103,0;3,18;0,65;0,93;1,1;1,13;2,06;0,35;0,43;0,57;13,0;0,62;37,0;0,32;0,47
Panama LPF;Panama;103,0;102,0;2,5;0,69;0,16;0,77;1,33;1,17;0,53;0,52;0,48;5,0;0,8;0,0;0,0;0,4
Paraguay Cup;Paraguay;102,0;102,0;2,49;0,71;0,51;0,72;0,99;1,5;0,4;0,34;0,66;12,0;0,25;21,0;0,38;0,32
Malaysia Cup;Malaysia;102,0;102,0;3,42;0,55;0,5;1,54;1,96;1,46;0,57;0,51;0,49;35,0;0,46;17,0;0,59;0,52
Switzerland Challenge League;Switzerland;102,0;102,0;2,94;0,65;0,16;1,02;1,55;1,39;0,53;0,54;0,46;18,0;0,78;4,0;0,75;0,76
South Korea Cup;South Korea;102,0;102,0;2,47;0,64;0,14;0,88;1,3;1,17;0,53;0,5;0,5;29,0;0,45;8,0;0,38;0,41
Coppa Italia;Italy;102,0;102,0;2,79;0,58;1,09;1,17;1,94;0,85;0,69;0,52;0,48;49,0;0,51;2,0;0,5;0,51
Spain Tercera Group 9;Spain;101,0;101,0;2,5;0,57;0,53;1,08;1,51;0,98;0,61;0,49;0,51;14,0;0,57;0,0;0,0;0,29
Zambia Super League;Zambia;101,0;99,0;1,84;0,69;0,44;0,58;1,14;0,7;0,62;0,38;0,62;15,0;0,2;2,0;0,5;0,35
Slovakia 2. Liga;Slovakia;100,0;100,0;2,76;0,62;0,26;1,05;1,51;1,25;0,55;0,58;0,42;7,0;0,71;2,0;0,5;0,61
Venezuela Primera Division;Venezuela;99,0;99,0;2,44;0,65;0,26;0,87;1,35;1,09;0,55;0,49;0,51;12,0;0,42;1,0;0,0;0,21
Portugal Campeonato Nacional II Women;Brazil;99,0;99,0;3,37;0,64;0,61;1,23;1,99;1,38;0,59;0,43;0,57;25,0;0,36;19,0;0,42;0,39
Northern Ireland Premier;Northern Ireland;99,0;98,0;3,05;0,59;0,38;1,26;1,72;1,33;0,56;0,57;0,43;20,0;0,65;13,0;0,54;0,59
Mexico Liga MX U19 Femenil;Mexico;99,0;99,0;2,4;0,64;0,73;0,86;1,57;0,84;0,65;0,41;0,59;16,0;0,5;7,0;0,57;0,54
Spain Tercera Group 14;Spain;98,0;98,0;2,47;0,63;0,29;0,91;1,38;1,09;0,56;0,5;0,5;24,0;0,54;2,0;1,0;0,77
USA USL Championship;USA;97,0;97,0;2,34;0,74;0,34;0,6;1,34;1,0;0,57;0,44;0,56;8,0;0,62;0,0;0,0;0,31
Oman League;Oman;97,0;97,0;2,54;0,65;0,12;0,88;1,33;1,21;0,52;0,48;0,52;14,0;0,5;9,0;0,44;0,47
Italy Serie C Play-Offs;Italy;96,0;95,0;2,14;0,83;0,2;0,37;1,17;0,97;0,55;0,46;0,54;3,0;0,67;0,0;0,0;0,33
Denmark Superligaen;Denmark;96,0;96,0;2,9;0,55;0,27;1,29;1,58;1,31;0,55;0,58;0,42;13,0;0,69;6,0;0,83;0,76
Italy Serie A Women;Italy;96,0;96,0;2,53;0,72;0,14;0,71;1,33;1,2;0,53;0,46;0,54;23,0;0,61;14,0;0,5;0,55
Uruguay Reserve League;Uruguay;96,0;96,0;2,82;0,54;0,2;1,29;1,31;1,51;0,46;0,54;0,46;9,0;0,67;2,0;0,0;0,33
Spain Tercera Group 16;Spain;96,0;96,0;3,17;0,56;0,5;1,4;1,83;1,33;0,58;0,54;0,46;25,0;0,48;11,0;0,64;0,56
Tanzania Premier League;Tanzania;95,0;95,0;1,94;0,75;0,38;0,49;1,16;0,78;0,6;0,33;0,67;24,0;0,25;14,0;0,29;0,27
South Korea K League 2;South Korea;95,0;95,0;2,66;0,61;0,01;1,03;1,33;1,34;0,5;0,58;0,42;11,0;0,45;4,0;0,0;0,23
Australia New South Wales Premier League;Australia;95,0;95,0;2,89;0,59;0,33;1,18;1,61;1,28;0,56;0,55;0,45;7,0;1,0;2,0;0,5;0,75
Bosnia & Herzegovina Premier Liga;Bosnia;95,0;94,0;1,99;0,7;0,12;0,6;1,05;0,94;0,53;0,35;0,65;28,0;0,54;6,0;0,33;0,43
Iraq Premier Division;Iraq;95,0;95,0;2,17;0,73;0,21;0,59;1,19;0,98;0,55;0,47;0,53;4,0;0,5;0,0;0,0;0,25
North & Central America - World Cup Qualifying;International (North & Central America);95,0;95,0;3,2;0,62;0,44;1,2;1,82;1,38;0,57;0,4;0,6;42,0;0,43;24,0;0,38;0,4
Bahrain Division 2;Bahrain;94,0;94,0;2,98;0,67;0,28;0,98;1,35;1,63;0,45;0,46;0,54;20,0;0,55;20,0;0,3;0,43
Rwanda Cup;Rwanda;94,0;94,0;2,23;0,77;0,36;0,51;1,3;0,94;0,58;0,41;0,59;21,0;0,38;2,0;0,0;0,19
Türkiye 2 Lig Kirmizi;Turkey;94,0;93,0;2,76;0,6;0,37;1,1;1,56;1,19;0,57;0,48;0,52;20,0;0,45;10,0;0,7;0,57
Cambodia Premier League;Cambodia;94,0;94,0;3,01;0,63;0,14;1,11;1,44;1,57;0,48;0,56;0,44;23,0;0,61;14,0;0,71;0,66
Italy Primavera Cup;Italy;93,0;93,0;3,16;0,56;1,05;1,38;2,11;1,05;0,67;0,57;0,43;15,0;0,4;0,0;0,0;0,2
UAE Reserve League;UAE;93,0;93,0;2,99;0,54;0,17;1,36;1,58;1,41;0,53;0,62;0,38;11,0;0,45;1,0;0,0;0,23
Togo Premier Division;Togo;93,0;91,0;1,58;0,79;0,18;0,34;0,88;0,7;0,56;0,32;0,68;9,0;0,67;0,0;0,0;0,33
Womens World Cup Qual;International (World);93,0;93,0;3,28;0,69;0,72;1,01;2,0;1,28;0,61;0,4;0,6;39,0;0,33;29,0;0,59;0,46
Croatia 2.NL;Croatia;92,0;92,0;2,49;0,59;0,55;1,03;1,52;0,97;0,61;0,45;0,55;17,0;0,41;2,0;0,0;0,21
England National League Premier Women;England;91,0;91,0;3,42;0,5;0,05;1,72;1,68;1,74;0,49;0,49;0,51;17,0;0,35;20,0;0,4;0,38
