Match ID,Date,Time,IN_LIVE,Odd_Ent,Juice,Stake,Lucro_Max,Jogo,Liga,Região,OBS
193189523,2026-05-02,12:00,False,2.05,0.0,1.0,1.05,Grazer AK vs WSG Swarovski Tirol,Austria Bundesliga,Austria,
193775496,2026-05-02,12:00,False,2.1,0.0,1.0,1.1,Orijent vs NK Croatia Zmijavci,Croatia 1.NL,Croatia,
193775496,2026-05-02,12:00,False,2.1,0.0,1.0,1.1,Orijent vs NK Croatia Zmijavci,Croatia 1.NL,Croatia,
192947584,2026-05-02,12:00,False,1.8,0.0,1.0,0.8,GIF Sundsvall vs IK Oddevold,Sweden Superettan,Sweden,
193758226,2026-05-02,12:00,False,2.1,0.0,1.0,1.1,Karpaty Lviv vs LNZ Cherkasy,Ukraine Vyscha Liga,Ukraine,
193826426,2026-05-02,13:30,False,1.8,0.0,1.0,0.8,Audax Italiano vs Union La Calera,Chile Copa de la Liga,Chile,
193109785,2026-05-02,13:30,False,1.8,0.0,1.0,0.8,Betis Deportivo vs Antequera,Spain Primera Division RFEF Group 2,Spain,
193773184,2026-05-02,15:00,False,2.0,0.0,1.0,1.0,America RJ vs Pouso Alegre,Brazil Serie D,Brazil,
193186971,2026-05-02,15:30,False,2.62,0.0,1.0,1.62,CA Estudiantes Caseros vs CA San Telmo,Argentina Nacional B,Argentina,
193773078,2026-05-02,15:30,False,2.62,0.0,1.0,1.62,Deportivo Camioneros vs CSD Flandria,Argentina Primera B Metropolitana,Argentina,
193814955,2026-05-02,15:30,False,2.5,0.0,1.0,1.5,Real Pilar vs Argentino Merlo,Argentina Primera B Metropolitana,Argentina,
193814951,2026-05-02,15:30,False,2.75,0.0,1.0,1.75,Sportivo Italiano vs Deportivo Armenio,Argentina Primera B Metropolitana,Argentina,
193820535,2026-05-02,15:30,False,2.75,0.0,1.0,1.75,Central Cordoba Rosario vs Fenix,Argentina Primera C Metropolitana,Argentina,
193820490,2026-05-02,15:30,False,2.25,0.0,1.0,1.25,Deportivo Paraguayo vs Defensores de Cambaceres,Argentina Primera C Metropolitana,Argentina,
193828067,2026-05-02,15:30,False,2.5,0.0,1.0,1.5,Independiente Chivilcoy vs Sportivo Belgrano,Argentina Torneo A,Argentina,
193191377,2026-05-02,16:00,False,1.9,0.0,1.0,0.9,Botafogo vs Remo,Brazil Serie A,Brazil,
193773187,2026-05-02,16:00,False,2.1,0.0,1.0,1.1,Agua Santa vs Portuguesa RJ,Brazil Serie D,Brazil,
193830060,2026-05-02,16:00,False,2.62,0.0,1.0,1.62,CODM Meknes vs MAS Fes,Morocco GNF 1,Morocco,
193108874,2026-05-02,16:00,False,1.83,0.0,1.0,0.83,Real Madrid Castilla vs Unionistas de Salamanca CF,Spain Primera Division RFEF Group 1,Spain,
192946435,2026-05-02,16:00,False,1.91,0.0,1.0,0.91,Eibar vs Malaga,Spain Segunda,Spain,
193774287,2026-05-02,18:00,False,2.5,0.0,1.0,1.5,Brasil de Pelotas vs Marcilio Dias,Brazil Serie D,Brazil,
193774282,2026-05-02,18:00,False,2.1,0.0,1.0,1.1,Noroeste vs Marica,Brazil Serie D,Brazil,
193796720,2026-05-02,18:30,False,2.2,0.0,1.0,1.2,Goiatuba vs Uniao Rondonopolis,Brazil Serie D,Brazil,
193332835,2026-05-02,18:30,False,2.0,0.0,1.0,1.0,Liverpool Montevideo vs Danubio,Uruguay Apertura,Uruguay,
193067329,2026-05-02,18:45,False,2.2,0.0,1.0,1.2,San Lorenzo vs Independiente,Argentina Liga Profesional,Argentina,
193772914,2026-05-02,19:00,False,2.2,0.0,1.0,1.2,Confianca vs Inter de Limeira,Brazil Serie C,Brazil,
193804191,2026-05-02,19:30,False,2.0,0.0,1.0,1.0,North Carolina Courage (W) vs Kansas City Current (W),USA NWSL Women,USA,
193828985,2026-05-02,20:00,False,2.25,0.0,1.0,1.25,Deportivo Merlo vs Argentino Quilmes,Argentina Primera B Metropolitana,Argentina,
193192157,2026-05-02,20:30,False,2.2,0.0,1.0,1.2,Fortaleza vs Goias,Brazil Serie B,Brazil,
193832305,2026-05-03,01:00,False,2.0,0.0,1.0,1.0,Matsumoto Y FC vs Ventforet Kofu,Japan J2/J3 Centennial League,Japan,
193200102,2026-05-03,01:00,False,1.83,0.0,1.0,0.83,Vanraure Hachinohe vs Thespa Gunma,Japan J2/J3 Centennial League,Japan,
193202390,2026-05-03,02:00,False,1.8,0.0,1.0,0.8,Daegu FC vs Gyeongnam FC,South Korea K League 2,South Korea,
193202396,2026-05-03,02:00,False,1.9,0.0,1.0,0.9,Seoul E-Land FC vs Gimpo FC,South Korea K League 2,South Korea,
193189756,2026-05-03,05:30,False,1.83,0.0,1.0,0.83,Austria Lustenau vs SW Bregenz,Austria 2. Liga,Austria,
193755285,2026-05-03,07:00,False,1.8,0.0,1.0,0.8,Portimonense vs Chaves,Portugal Segunda Liga,Portugal,
193004653,2026-05-03,07:30,False,1.95,0.0,1.0,0.95,Bologna vs Cagliari,Italy Serie A,Italy,
193881649,2026-05-03,08:00,False,1.9,0.0,1.0,0.9,Ningbo Professional FC vs Changchun Yatai,China Division 1,China,
193194989,2026-05-03,09:00,False,1.8,0.0,1.0,0.8,Randers FC vs Vejle,Denmark Superligaen,Denmark,
193880998,2026-05-03,09:00,False,1.9,0.0,1.0,0.9,SGS Essen (W) vs Bayer Leverkusen (W),Germany Bundesliga Women,Germany,
192785626,2026-05-03,09:45,False,1.95,0.0,1.0,0.95,Zaglebie Lubin vs Cracovia Krakow,Poland Ekstraklasa,Poland,
193940431,2026-05-03,10:00,False,2.1,0.0,1.0,1.1,Riga FC vs FK Liepaja,Latvia Virsliga,Latvia,
192932650,2026-05-03,10:30,False,1.8,0.0,1.0,0.8,St Pauli vs Mainz,Germany Bundesliga I,Germany,
193190238,2026-05-03,11:00,True,1.95,0.0,1.0,0.95,Antwerp vs Standard Liege,Belgium First Division A,Belgium,
193383491,2026-05-03,11:00,True,2.1,0.0,1.0,1.1,Apoel Nicosia vs AEK Larnaca,Cyprus Division 1,Cyprus,
193108892,2026-05-03,11:00,False,2.0,0.0,1.0,1.0,Merida vs Lugo,Spain Primera Division RFEF Group 1,Spain,
193756207,2026-05-03,11:00,True,2.1,0.0,1.0,1.1,Assyriska Föreningen vs FC Järfälla,Sweden 1.div Norra,Sweden,
193383504,2026-05-03,13:00,False,1.8,0.0,1.0,0.8,Apollon Limassol vs Pafos FC,Cyprus Division 1,Cyprus,
193109828,2026-05-03,13:15,False,2.2,0.0,1.0,1.2,Sabadell vs Real Murcia,Spain Primera Division RFEF Group 2,Spain,
193886548,2026-05-03,13:30,True,1.95,0.0,1.0,0.95,Sparta Prague vs FK Jablonec,Czechia First League,Czech Republic,
192946798,2026-05-03,13:30,False,1.95,0.0,1.0,0.95,Real Betis vs Real Oviedo,Spain La Liga,Spain,
193701851,2026-05-03,14:30,False,2.2,0.0,1.0,1.2,FK Napredak vs Radnicki Nis,Serbia Super Liga,Serbia,
193701846,2026-05-03,14:30,False,2.37,0.0,1.0,1.37,Mladost Lucani vs Spartak Subotica,Serbia Super Liga,Serbia,
