DATA;Time;BTTS;IN LIVE?;Odd J;Odd M;Juice;EV;Stake;Lucro Max;Profit;Jogo;Liga;Região;Match ID;%_ProbMod;OBS;ROI;DATA_DISPLAY;Prob_BTTS;Fair_Odd_BTTS
2026-04-26;13:25;Sim;;2,07;2,1;0,00%;1,45%;1,0;1,10;-1,0;Samail vs Al Khaburah;Oman League;Oman;193504997,0;48,31%;;-100,0;26/04/2026;0,4320421611562866;2,3145835645764605
2026-04-26;14:00;Sim;;2,19;2,2;0,00%;0,46%;1,0;1,20;-1,0;Larissa vs Panserraikos;Greece Super League 1;Greece;192941147,0;45,66%;;-100,0;26/04/2026;0,4346955576527337;2,300455300128856
2026-04-26;14:00;Sim;;2,33;2,37;0,00%;1,72%;1,0;1,37;1,37;Estrela Amadora vs FC Porto;Portugal Primeira Liga;Portugal;192943772,0;42,92%;;137,0;26/04/2026;0,434849130994616;2,299642862502395
2026-04-26;14:00;Sim;;2,13;2,1;0,00%;-1,41%;1,0;1,10;1,1;Santa Clara vs Braga;Portugal Primeira Liga;Portugal;192943785,0;46,95%;;110,00000000000001;26/04/2026;0,4605675681104294;2,1712293657005106
2026-04-26;15:00;Sim;;2,14;2,2;0,00%;2,80%;1,0;1,20;-1,0;Guarany de Bage vs Sao Luiz;Brazil Serie D;Brazil;193436006,0;46,73%;;-100,0;26/04/2026;0,3874126876566294;2,581220106209348
2026-04-26;15:30;Sim;;2,06;2,2;0,00%;6,80%;1,0;1,20;-1,0;Juazeirense vs ASA;Brazil Serie D;Brazil;193436015,0;48,54%;;-100,0;26/04/2026;0,4510757710900643;2,2169175273278143
2026-04-26;15:30;Sim;;1,77;1,9;0,00%;7,34%;1,0;0,90;0,9;Racing Ferrol vs Real Aviles CF;Spain Primera Division RFEF Group 1;Spain;193108456,0;56,50%;;90,0;26/04/2026;0,4452595392655815;2,2458760923422787
2026-04-26;18:00;Sim;;2,23;2,25;0,00%;0,90%;1,0;1,25;1,25;Ceara vs Vila Nova;Brazil Serie B;Brazil;193005585,0;44,84%;;125,0;26/04/2026;0,3833326112726785;2,6086937607166027
2026-04-26;18:30;Sim;;2,15;2,2;0,00%;2,33%;1,0;1,20;1,2;Athletico Paranaense vs Vitoria;Brazil Serie A;Brazil;192938360,0;46,51%;;120,0;26/04/2026;0,4067848117246966;2,4582961626910853
2026-04-26;19:00;Sim;;1,83;1,9;0,00%;3,83%;1,0;0,90;0,9;Ituano vs Maringa;Brazil Serie C;Brazil;193438850,0;54,64%;;90,0;26/04/2026;0,4835933045721816;2,0678490018294653
2026-04-26;22:20;Sim;;2,13;2,25;0,00%;5,63%;1,0;1,25;-1,0;Internacional de Bogota vs Boyaca Chico;Colombia Primera A;Colombia;192608408,0;46,95%;;-100,0;26/04/2026;0,3576760949860659;2,795817831273085
2026-04-27;10:50;Sim;;2,12;2,5;0,00%;17,92%;1,0;1,50;1,5;Bahla vs Oman FC;Oman League;Oman;193545567,0;47,17%;;150,0;27/04/2026;0,422238496206555;2,3683241595921447
2026-04-27;11:00;Sim;;2,24;2,5;0,00%;11,61%;1,0;1,50;-1,0;El Zamalek vs Enppi;Egypt Division 1;Egypt;193548679,0;44,64%;;-100,0;27/04/2026;0,3634295258258062;2,7515575300884447
2026-04-27;11:00;Sim;;2,11;2,2;0,00%;4,27%;1,0;1,20;-1,0;Smouha vs El Masry;Egypt Division 1;Egypt;193548673,0;47,39%;;-100,0;27/04/2026;0,4040021204147257;2,4752284065862145
2026-04-27;20:00;Sim;;2,34;2,37;0,00%;1,28%;1,0;1,37;1,37;Caxias vs Ypiranga RS;Brazil Serie C;Brazil;193487463,0;42,74%;;137,0;27/04/2026;0,3495228905530319;2,8610347590768592
2026-04-28;14:00;Sim;;2,28;3,0;0,00%;31,58%;1,0;2,00;2,0;Al Moqawloon Al Arab vs Ghazl El Mahallah;Egypt Division 1;Egypt;193655707,0;43,86%;;200,0;28/04/2026;0,313855942584927;3,18616498256816
2026-04-28;16:00;Sim;;2,28;2,62;0,00%;14,91%;1,0;1,62;1,62;MC Alger vs Olympique Akbou;Algeria Division 1;Algeria;193671236,0;43,86%;;162,0;28/04/2026;0,3504211985083556;2,853700491169527
2026-04-28;19:00;Sim;;2,72;2,75;0,00%;1,10%;1,0;1,75;-1,0;Lanus vs LDU Quito;Copa Libertadores;International (South America);192731524,0;36,76%;;-100,0;28/04/2026;0,3073505377605622;3,253603373148032
2026-04-28;19:00;Sim;;2,05;2,25;0,00%;9,76%;1,0;1,25;1,25;San Lorenzo vs Santos;Copa Sudamericana;International (South America);192951057,0;48,78%;;125,0;28/04/2026;0,339375004217404;2,94658428283987
2026-04-28;21:00;Sim;;2,08;2,1;0,00%;0,96%;1,0;1,10;-1,0;UCV vs Rosario Central;Copa Libertadores;International (South America);192731552,0;48,08%;;-100,0;28/04/2026;0,4516393788464025;2,2141510078311404
2026-04-28;21:00;Sim;;2,15;2,25;0,00%;4,65%;1,0;1,25;1,25;Barracas Central vs Audax Italiano;Copa Sudamericana;International (South America);192951062,0;46,51%;;125,0;28/04/2026;0,3952204531113389;2,530227021148792
2026-04-28;23:00;Sim;;2,08;2,25;0,00%;8,17%;1,0;1,25;-1,0;Deportes Tolima vs Coquimbo Unido;Copa Libertadores;International (South America);192731571,0;48,08%;;-100,0;28/04/2026;0,3915982215265213;2,5536312255724805
2026-04-29;02:00;Sim;;1,95;2,0;0,00%;2,56%;1,0;1,00;1,0;Avispa Fukuoka vs Sanfrecce Hiroshima;Japan J-League;Japan;192940742,0;51,28%;;100,0;29/04/2026;0,4451343449844822;2,2465077448182886
2026-04-29;02:00;Sim;;1,95;2,2;0,00%;12,82%;1,0;1,20;1,2;Yokohama FC vs Vanraure Hachinohe;Japan J2/J3 Centennial League;Japan;193118194,0;51,28%;;120,0;29/04/2026;0,4550371137953769;2,1976181108417734
2026-04-29;03:00;Sim;;1,84;1,95;0,00%;5,98%;1,0;0,95;0,95;Nagoya Grampus vs Fagiano Okayama;Japan J-League;Japan;192940752,0;54,35%;;95,0;29/04/2026;0,4869102212008579;2,05376248576429
2026-04-29;12:00;Sim;;2,23;2,62;0,00%;17,49%;1,0;1,62;-1,0;FUS Rabat vs CODM Meknes;Morocco GNF 1;Morocco;193662069,0;44,84%;;-100,0;29/04/2026;0,40466090439748;2,4711987689796167
2026-04-29;13:00;Sim;;2,18;2,2;0,00%;0,92%;1,0;1,20;-1,0;Maccabi Bnei Raina vs Hapoel Jerusalem FC;Israel Premier League;Israel;193715387,0;45,87%;;-100,0;29/04/2026;0,4600133450583006;2,1738452523111285
2026-04-29;13:45;Sim;;2,22;2,37;0,00%;6,76%;1,0;1,37;1,37;JS Kabylie vs MC Oran;Algeria Division 1;Algeria;193703559,0;45,05%;;137,0;29/04/2026;0,362412919813351;2,7592759144433967
2026-04-29;14:00;Sim;;2,6;2,75;0,00%;5,77%;1,0;1,75;-1,0;Modern Sport FC vs Talaea El Geish;Egypt Division 1;Egypt;193709686,0;38,46%;;-100,0;29/04/2026;0,3158454472004348;3,1660954519631006
2026-04-29;16:00;Sim;;2,06;2,5;0,00%;21,36%;1,0;1,50;-1,0;MAS Fes vs HUSA Agadir;Morocco GNF 1;Morocco;193662104,0;48,54%;;-100,0;29/04/2026;0,3886616025347725;2,5729257033689854
2026-04-29;19:00;Sim;;2,38;2,62;0,00%;10,08%;1,0;1,62;1,62;Platense vs Independiente Santa Fe;Copa Libertadores;International (South America);192731578,0;42,02%;;162,0;29/04/2026;0,3934601942338637;2,541546700551172
2026-04-29;19:00;Sim;;2,09;2,2;0,00%;5,26%;1,0;1,20;1,2;Caracas vs Racing Club;Copa Sudamericana;International (South America);192951073,0;47,85%;;120,0;29/04/2026;0,3761290315798707;2,6586550289528037
2026-04-29;19:30;Sim;;2,1;2,1;0,00%;0,00%;1,0;1,10;1,1;Chapecoense vs America MG;Brazil Copa Sul-Sudeste;Brazil;193708327,0;47,62%;;110,00000000000001;29/04/2026;0,3965399499472571;2,5218076471875284
2026-04-29;21:15;Sim;;2,17;2,2;0,00%;1,38%;1,0;1,20;1,2;Novorizontino vs Avai;Brazil Copa Sul-Sudeste;Brazil;193708329,0;46,08%;;120,0;29/04/2026;0,4130049791258661;2,4212724525599274
2026-04-29;21:30;Sim;;2,26;2,5;0,00%;10,62%;1,0;1,50;1,5;Botafogo PB vs Fluminense PI;Brazil Copa Nordeste;Brazil;193711077,0;44,25%;;150,0;29/04/2026;0,3892762834689687;2,568862973684708
2026-04-29;21:30;Sim;;2,17;2,25;0,00%;3,69%;1,0;1,25;1,25;Juazeirense vs ASA;Brazil Copa Nordeste;Brazil;193711120,0;46,08%;;125,0;29/04/2026;0,4150066360521828;2,4095942173802816
2026-04-29;21:30;Sim;;2,17;2,25;0,00%;3,69%;1,0;1,25;1,25;Maranhao vs Ceara;Brazil Copa Nordeste;Brazil;193711113,0;46,08%;;125,0;29/04/2026;0,4369087285704439;2,2888023191242994
2026-04-29;23:00;Sim;;1,94;2,05;0,00%;5,67%;1,0;1,05;1,05;Universitario de Deportes vs Nacional De Football;Copa Libertadores;International (South America);192731589,0;51,55%;;105,0;29/04/2026;0,4227949409354636;2,365207191411144
2026-04-30;12:00;Sim;;2,19;2,5;0,00%;14,16%;1,0;1,50;1,5;Difaa El Jadida vs Renaissance Zemamra;Morocco GNF 1;Morocco;193724582,0;45,66%;;150,0;30/04/2026;0,3975086199438229;2,5156623886016205
2026-04-30;16:00;Sim;;1,95;1,96;0,00%;0,51%;1,0;0,96;0,96;Braga vs SC Freiburg;UEFA Europa League;International (Europe);193126975,0;51,28%;;96,0;30/04/2026;0,4707328868305788;2,1243424957844783
2026-04-30;19:00;Sim;;1,8;1,95;0,00%;8,33%;1,0;0,95;-1,0;Bolivar vs Fluminense;Copa Libertadores;International (South America);192731591,0;55,56%;;-100,0;30/04/2026;0,4687004447063673;2,133554336762246
2026-04-30;19:00;Sim;;1,81;2,0;0,00%;10,50%;1,0;1,00;-1,0;Carabobo vs Blooming;Copa Sudamericana;International (South America);192951100,0;55,25%;;-100,0;30/04/2026;0,5129461457512962;1,9495185971555296
2026-04-30;21:00;Sim;;2,59;2,75;0,00%;6,18%;1,0;1,75;-1,0;Corinthians vs Penarol;Copa Libertadores;International (South America);192731597,0;38,61%;;-100,0;30/04/2026;0,3132671577076302;3,192153352953572
2026-04-30;23:00;Sim;;2,28;2,37;0,00%;3,95%;1,0;1,37;-1,0;Alianza Atletico vs Macara;Copa Sudamericana;International (South America);192951152,0;43,86%;;-100,0;30/04/2026;0,3612790439575947;2,767935889969542
2026-05-01;14:30;Sim;S;1,86;2,2;0,00%;18,28%;1,0;1,20;-1,0;FK Csikszereda Miercurea Ciuc vs FCSB;Romania Liga I;Romania;193330016,0;53,76%;;-100,0;01/05/2026;0,4941276512867308;2,0237644536416983
2026-05-01;15:45;Sim;;2,1;2,05;0,00%;-2,38%;1,0;1,05;1,05;Pisa vs Lecce;Italy Serie A;Italy;193004668,0;47,62%;;105,0;01/05/2026;0,3944067722557469;2,5354469925394048
2026-05-01;15:45;Sim;;2,07;2,1;0,00%;1,45%;1,0;1,10;-1,0;Cork City vs Cobh Ramblers;Republic of Ireland First Division;Ireland;193770858,0;48,31%;;-100,0;01/05/2026;0,4331535290889365;2,3086449127135347
2026-05-01;20:00;Sim;;2,0;2,0;0,00%;0,00%;1,0;1,00;-1,0;Libertad Asuncion vs Sportivo San Lorenzo;Paraguay Division Profesional;Paraguay;193394406,0;50,00%;;-100,0;01/05/2026;0,4336183521452269;2,306170135287417
2026-05-02;02:00;Sim;;1,74;1,9;0,00%;9,20%;1,0;0,90;0,9;Yokohama F-Marinos vs Mito Hollyhock;Japan J-League;Japan;192940795,0;57,47%;;90,0;02/05/2026;0,5324739557644044;1,8780225983857424
2026-05-02;02:00;Sim;;2,35;2,2;0,00%;-6,38%;1,0;1,20;1,2;Sagan Tosu vs Tegevajaro Miyazaki;Japan J2/J3 Centennial League;Japan;193200084,0;42,55%;;120,0;02/05/2026;0,3906536108816533;2,559805956835217
2026-05-02;02:00;Sim;;2,18;2,1;0,00%;-3,67%;1,0;1,10;1,1;Vegalta Sendai vs Blaublitz Akita;Japan J2/J3 Centennial League;Japan;193200094,0;45,87%;;110,00000000000001;02/05/2026;0,3983446526733788;2,510382611907012
2026-05-02;02:00;Sim;;1,75;1,83;0,00%;4,57%;1,0;0,83;0,83;Yokohama FC vs Sagamihara;Japan J2/J3 Centennial League;Japan;193200096,0;57,14%;;83,0;02/05/2026;0,5153001748589422;1,9406126917403956
2026-05-02;03:00;Sim;;1,83;1,83;0,00%;0,00%;1,0;0,83;0,83;Sutherland Sharks vs Marconi Stallions;Australia New South Wales Premier League;Australia;193417521,0;54,64%;;83,0;02/05/2026;0,5050834633271111;1,979866878923107
2026-05-02;04:00;Sim;;2,03;2,0;0,00%;-1,48%;1,0;1,00;1,0;Yanbian Longding vs Wuxi Wugo;China Division 1;China;193771670,0;49,26%;;100,0;02/05/2026;0,3789383377457884;2,6389448135649896
2026-05-02;06:00;Sim;;1,95;1,9;0,00%;-2,56%;1,0;0,90;-1,0;Nagano Parceiro vs Fujieda MYFC;Japan J2/J3 Centennial League;Japan;193200100,0;51,28%;;-100,0;02/05/2026;0,4553723235873717;2,1960003983591534
2026-05-02;08:15;Sim;;2,16;2,1;0,00%;-2,78%;1,0;1,10;-1,0;FK Riteriai vs FK Transinvest;Lithuania A Lyga;Lithuania;193744314,0;46,30%;;-100,0;02/05/2026;0,465893868869273;2,146406983247101
2026-05-02;10:00;Sim;;2,01;1,9;0,00%;-5,47%;1,0;0,90;0,9;Sirius vs Kalmar FF;Sweden Allsvenskan;Sweden;192946937,0;49,75%;;90,0;02/05/2026;0,5025320816220911;1,989918746786123
2026-05-02;11:00;Sim;;1,86;1,83;0,00%;-1,61%;1,0;0,83;0,83;HNK Gorica vs Dinamo Zagreb;Croatia HNL;Croatia;193340866,0;53,76%;;83,0;02/05/2026;0,5478908899801747;1,8251775912145456
2026-05-02;11:00;Sim;;2,28;2,25;0,00%;-1,32%;1,0;1,25;-1,0;Stevenage vs Wigan;England League 1;England;192500310,0;43,86%;;-100,0;02/05/2026;0,3899603043706584;2,564356998481828
2026-05-02;11:00;Sim;;2,14;2,1;0,00%;-1,87%;1,0;1,10;1,1;Sohar Club vs Bahla;Oman League;Oman;193782404,0;46,73%;;110,00000000000001;02/05/2026;0,4129146092000348;2,421802367649306
2026-05-02;11:15;Sim;;1,78;1,8;0,00%;1,12%;1,0;0,80;-1,0;Valencia vs Atletico Madrid;Spain La Liga;Spain;192946792,0;56,18%;;-100,0;02/05/2026;0,5069863494459818;1,9724358035615
2026-05-02;11:15;Sim;;2,71;2,75;0,00%;1,48%;1,0;1,75;1,75;Gimnastic vs Sevilla Atletico;Spain Primera Division RFEF Group 2;Spain;193109778,0;36,90%;;175,0;02/05/2026;0,3208815407192199;3,1164051423883
2026-05-02;11:15;Sim;S;2,08;2,2;0,00%;5,77%;1,0;1,20;1,2;Cultural Leonesa vs Cadiz;Spain Segunda;Spain;192946427,0;48,08%;;120,0;02/05/2026;0,4344809827687306;2,3015914115184097
2026-05-02;11:30;Sim;;2,17;2,1;0,00%;-3,23%;1,0;1,10;1,1;Panserraikos vs Larissa;Greece Super League 1;Greece;193199371,0;46,08%;;110,00000000000001;02/05/2026;0,4123125182322669;2,4253388641909
