League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index;btts_equilibrado;btts_favorito;btts_super_fav;btts_hiper_fav
Austria Cup;Austria;129,0;129,0;3,55;0,55;0,16;1,22;1,59;1,16;2,39;0,33;0,5;0,5;15,0;0,87;69,0;0,41;0,64;0,64;0,64;0,52;0,38
Norway Toppserien Women;Norway;128,0;128,0;3,28;0,59;0,14;0,27;1,34;1,77;1,51;0,54;0,47;0,53;35,0;0,37;27,0;0,41;0,39;0,72;0,53;0,33;0,35
Czech Cup;Czech Republic;128,0;128,0;3,39;0,54;0,17;0,77;1,56;1,31;2,08;0,39;0,55;0,45;4,0;0,5;54,0;0,57;0,54;0,72;0,54;0,57;0,48
Greece Super League U19;Greece;128,0;128,0;2,62;0,65;0,14;0,21;0,92;1,41;1,2;0,54;0,45;0,55;33,0;0,3;18,0;0,56;0,43;0,52;0,57;0,43;0,29
Australia Cup Qualifying;Australia;128,0;128,0;3,62;0,53;0,15;0,11;1,71;1,87;1,76;0,52;0,61;0,39;29,0;0,66;22,0;0,55;0,6;0,83;0,63;0,78;0,46
Italy Serie C Cup;Italy;128,0;128,0;2,36;0,61;0,12;0,25;0,92;1,3;1,05;0,55;0,5;0,5;13,0;0,46;1,0;0,0;0,23;0,58;0,51;0,25;0,5
India Bangalore Super Division;India;127,0;127,0;2,83;0,62;0,37;0,02;1,09;1,43;1,4;0,5;0,42;0,58;27,0;0,41;26,0;0,46;0,43;0,48;0,48;0,39;0,31
England FA Cup Women;England;127,0;126,0;3,61;0,57;0,17;0,53;1,54;2,07;1,54;0,57;0,47;0,53;54,0;0,48;26,0;0,42;0,45;0,53;0,52;0,59;0,39
Malaysia Liga A1 Semi Pro;Malaysia;127,0;127,0;2,91;0,65;0,14;0,1;1,03;1,5;1,4;0,52;0,41;0,59;29,0;0,41;23,0;0,17;0,29;0,45;0,46;0,48;0,26
Portugal Campeonato Nacional II Women;Portugal;126,0;126,0;3,36;0,62;0,16;0,45;1,27;1,9;1,45;0,57;0,45;0,55;30,0;0,43;22,0;0,41;0,42;0,53;0,45;0,45;0,4
Japan FA Cup;Japan;126,0;125,0;2,9;0,61;0,14;0,45;1,13;1,67;1,22;0,58;0,55;0,45;42,0;0,55;11,0;0,73;0,64;0,5;0,6;0,67;0,44
Malaysia President Cup;Malaysia;125,0;125,0;2,63;0,67;0,13;0,47;0,88;1,55;1,08;0,59;0,44;0,56;33,0;0,52;20,0;0,4;0,46;0,54;0,32;0,5;0,42
UAE Cup;UAE;125,0;125,0;2,78;0,68;0,14;0,26;0,9;1,52;1,26;0,55;0,48;0,52;24,0;0,58;9,0;0,22;0,4;0,62;0,43;0,45;0,5
Jordan League;Jordan;124,0;124,0;2,76;0,65;0,13;0,05;0,96;1,35;1,4;0,49;0,5;0,5;30,0;0,6;23,0;0,61;0,6;0,46;0,44;0,6;0,48
Netherlands Eredivisie Women;Netherlands;124,0;124,0;3,34;0,56;0,14;0,34;1,46;1,84;1,5;0,55;0,53;0,47;37,0;0,54;29,0;0,59;0,56;0,73;0,45;0,65;0,48
Thailand Cup;Thailand;124,0;123,0;3,32;0,8;0,17;0,29;0,67;1,81;1,52;0,54;0,47;0,53;36,0;0,42;25,0;0,6;0,51;0,42;0,49;0,47;0,46
Iceland Cup Women;Iceland;124,0;124,0;4,35;0,5;0,2;0,33;2,16;2,34;2,01;0,54;0,65;0,35;24,0;0,58;18,0;0,67;0,62;0,69;0,68;0,74;0,53
Republic of Ireland National League Women;Ireland;124,0;124,0;3,32;0,57;0,16;0,03;1,44;1,65;1,68;0,5;0,55;0,45;28,0;0,46;26,0;0,46;0,46;0,64;0,64;0,65;0,4
Australia Western Australia State League 1;Australia;124,0;124,0;3,43;0,59;0,15;0,23;1,4;1,83;1,6;0,53;0,69;0,31;7,0;0,86;4,0;0,75;0,8;0,71;0,7;0,7;0,69
Slovenia 3. SNL;Slovenia;124,0;124,0;2,79;0,62;0,13;0,29;1,05;1,54;1,25;0,55;0,55;0,45;17,0;0,59;4,0;0,75;0,67;0,57;0,51;0,56;0,55
Italy Serie A Women;Italy;123,0;123,0;2,59;0,72;0,12;0,2;0,72;1,4;1,2;0,54;0,46;0,54;31,0;0,58;16,0;0,5;0,54;0,57;0,4;0,53;0,39
