League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index;btts_equilibrado;btts_favorito;btts_super_fav;btts_hiper_fav
Iran Div 2;Iran;58,0;57,0;1,4;0,84;0,1;0,29;0,23;0,84;0,55;0,6;0,33;0,67;5,0;0,4;1,0;0,0;0,2;0,22;0,36;0,33;0,33
Bhutan Premier League;Bhutan;58,0;58,0;4,24;0,73;0,12;0,34;1,16;2,29;1,95;0,54;0,57;0,43;18,0;0,44;15,0;0,47;0,46;0,78;0,64;0,7;0,43
Norway Youth Cup;Norway;58,0;58,0;4,62;0,47;0,2;0,21;2,45;2,41;2,21;0,52;0,69;0,31;14,0;0,5;12,0;0,83;0,67;0,83;0,88;0,57;0,59
Costa Rica U19 League;Costa Rica;58,0;58,0;3,28;0,6;0,18;0,28;1,32;1,78;1,5;0,54;0,66;0,34;10,0;0,7;2,0;0,0;0,35;0,6;0,67;0,64;0,66
South Korea Women K League;South Korea;58,0;58,0;2,88;0,57;0,16;0,19;1,25;1,34;1,53;0,47;0,66;0,34;9,0;0,56;10,0;0,8;0,68;0,64;0,78;0,42;0,88
AFC Asian Cup Qualifiers;International (Asia);58,0;58,0;2,84;0,69;0,15;0,36;0,87;1,6;1,24;0,56;0,43;0,57;18,0;0,39;15,0;0,07;0,23;0,62;0,67;0,5;0,2
Curacao League;Curacao;58,0;55,0;3,41;0,55;0,68;0,1;1,54;1,66;1,76;0,48;0,53;0,47;9,0;0,44;6,0;0,5;0,47;0,53;0,85;0,36;0,5
Serbia Cup;Serbia;57,0;56,0;2,86;0,59;0,13;0,12;1,19;1,49;1,37;0,52;0,58;0,42;14,0;0,79;13,0;0,46;0,62;0,53;0,67;0,64;0,53
Peru Campeonato Nacional Women;Peru;57,0;57,0;3,32;0,71;0,14;0,61;0,98;1,96;1,35;0,59;0,46;0,54;23,0;0,39;13,0;0,38;0,39;0,5;0,6;0,43;0,38
Bahrain U21 League;Bahrain;57,0;57,0;3,77;0,55;0,22;0,05;1,71;1,86;1,91;0,49;0,65;0,35;3,0;0,33;5,0;0,6;0,47;0,67;0,59;0,67;0,65
Costa Rica Cup;Costa Rica;57,0;56,0;2,81;0,71;0,14;0,67;0,81;1,74;1,07;0,62;0,54;0,46;15,0;0,6;4,0;0,75;0,68;0,75;0,33;0,46;0,8
Uruguay Torneo Intermedio;Uruguay;57,0;57,0;2,54;0,6;0,16;0,54;1,02;1,54;1,0;0,61;0,58;0,42;9,0;0,33;2,0;0,5;0,42;0,61;0,67;0,44;0,58
Brazil Campeonato Mineiro 2;Brazil;56,0;56,0;1,98;0,8;0,09;0,16;0,39;1,07;0,91;0,54;0,38;0,62;5,0;0,8;2,0;1,0;0,9;0,36;0,29;0,71;0,38
Qatar Cup;Qatar;56,0;56,0;3,04;0,62;0,14;0,43;1,17;1,73;1,3;0,57;0,71;0,29;15,0;0,67;1,0;1,0;0,83;0,64;0,68;0,69;0,9
Iran Cup;Iran;56,0;55,0;1,98;0,66;0,14;0,41;0,67;1,2;0,79;0,6;0,5;0,5;14,0;0,57;4,0;0,5;0,54;0,57;0,4;0,62;0,44
Italy Campionato Nazionale;Italy;56,0;56,0;3,5;0,51;0,15;0,96;1,7;2,23;1,27;0,64;0,5;0,5;11,0;0,45;2,0;0,5;0,48;0,65;0,33;0,6;0,38
Argentina Copa Santa Fe;Argentina;56,0;56,0;2,25;0,68;0,1;0,07;0,71;1,16;1,09;0,52;0,46;0,54;7,0;0,57;2,0;0,5;0,54;0,56;0,41;0,5;0,46
New Zealand Football Championship;New Zealand;56,0;56,0;3,41;0,54;0,15;0,52;1,56;1,96;1,45;0,58;0,59;0,41;5,0;0,2;2,0;1,0;0,6;0,59;0,68;0,47;0,59
Niger Super League;Niger;56,0;56,0;1,91;0,8;0,11;0,45;0,38;1,18;0,73;0,62;0,32;0,68;14,0;0,43;0,0;0,0;0,21;0,18;0,36;0,5;0,32
Australia Friendlies;Australia;56,0;56,0;3,68;0,56;0,15;0,04;1,63;1,86;1,82;0,5;0,52;0,48;6,0;0,5;4,0;0,25;0,38;0,45;0,58;0,55;0,14
Austria Women League 2;Austria;56,0;56,0;3,41;0,61;0,15;0,38;1,34;1,89;1,52;0,55;0,41;0,59;10,0;0,5;6,0;0,17;0,33;0,42;0,38;0,46;0,27
Nepal National League;Nepal;55,0;55,0;2,49;0,76;0,12;0,13;0,59;1,31;1,18;0,53;0,47;0,53;12,0;0,75;4,0;0,0;0,38;0,38;0,56;0,33;0,5
Morocco Cup;Morocco;55,0;55,0;2,56;0,58;0,13;0,05;1,09;1,31;1,25;0,51;0,47;0,53;15,0;0,53;8,0;0,38;0,45;0,46;0,53;0,4;0,5
Bangladesh Federation Cup;Bangladesh;55,0;55,0;2,96;0,62;0,18;0,02;1,13;1,49;1,47;0,5;0,42;0,58;17,0;0,41;9,0;0,44;0,43;0,25;0,73;0,4;0,26
Australia Championship;Australia;55,0;55,0;3,22;0,58;0,15;0,6;1,37;1,91;1,31;0,59;0,58;0,42;15,0;0,6;6,0;0,83;0,72;0,78;0,5;0,6;0,5
Brazil Copa Santa Catarina;Brazil;55,0;55,0;2,8;0,6;0,13;0,25;1,12;1,53;1,27;0,55;0,49;0,51;8,0;0,5;2,0;1,0;0,75;0,5;0,48;0,4;0,49
Qatar League 2;Qatar;55,0;55,0;2,95;0,51;0,14;0,15;1,45;1,4;1,55;0,48;0,58;0,42;0,0;0,0;0,0;0,0;0,0;0,45;0,87;0,58;0,58
India I-League;India;55,0;55,0;3,02;0,62;0,14;0,4;1,16;1,71;1,31;0,57;0,62;0,38;2,0;1,0;1,0;0,0;0,5;0,71;0,55;0,62;0,62
Taiwan Mulan League Women;Taiwan;55,0;55,0;3,29;0,54;0,15;0,49;1,52;1,89;1,4;0,57;0,45;0,55;21,0;0,38;11,0;0,45;0,42;0,33;0,55;0,7;0,36
Estonia Meistriliiga Women;Estonia;54,0;54,0;4,39;0,55;0,15;0,09;1,97;2,24;2,15;0,51;0,67;0,33;16,0;0,56;10,0;0,6;0,58;0,67;0,75;0,92;0,45
Faroe Islands Div 1;Faroe Islands;54,0;54,0;3,65;0,54;0,16;0,8;1,68;2,22;1,43;0,61;0,5;0,5;14,0;0,36;3,0;0,67;0,51;0,75;0,4;0,67;0,36
Iceland 5 Deild;Iceland;54,0;54,0;5,0;0,43;0,16;0,04;2,86;2,52;2,48;0,5;0,72;0,28;6,0;0,5;5,0;1,0;0,75;0,62;0,78;0,67;0,7
CONCACAF Caribbean Cup;International (Caribbean);54,0;54,0;2,63;0,6;0,14;0,22;1,06;1,43;1,2;0,54;0,54;0,46;8,0;0,75;0,0;0,0;0,38;0,58;0,52;0,5;0,54
Oman Federation Cup;Oman;54,0;54,0;2,5;0,71;0,13;0,13;0,72;1,31;1,19;0,53;0,54;0,46;7,0;0,71;2,0;0,5;0,61;0,57;0,5;0,64;0,54
UEFA Champions League Women;International (Europe);54,0;54,0;3,46;0,55;0,13;0,28;1,54;1,87;1,59;0,54;0,52;0,48;22,0;0,5;12,0;0,75;0,62;0,52;0,56;0,46;0,54
North Macedonia Second League;North Macedonia;54,0;54,0;2,7;0,79;0,13;1,11;0,57;1,91;0,8;0,71;0,37;0,63;27,0;0,44;5,0;0,6;0,52;0,14;0,4;0,38;0,42
Australia WA Premier League Women;Australia;54,0;54,0;4,15;0,59;0,19;0,41;1,7;2,28;1,87;0,55;0,56;0,44;17,0;0,53;10,0;0,3;0,41;0,7;0,7;0,56;0,38
Kuwait Division 1;Kuwait;54,0;54,0;3,06;0,57;0,14;0,02;1,3;1,52;1,54;0,5;0,54;0,46;9,0;0,67;5,0;0,2;0,43;0,4;0,62;0,62;0,5
Brazil Campeonato Paranaense;Brazil;53,0;53,0;2,42;0,68;0,11;0,19;0,77;1,3;1,11;0,54;0,45;0,55;14,0;0,57;4,0;0,75;0,66;0,54;0,4;0,56;0,44
Brazil Campeonato Capixaba;Brazil;53,0;53,0;2,08;0,68;0,12;0,0;0,66;1,04;1,04;0,5;0,4;0,6;14,0;0,29;2,0;1,0;0,64;0,44;0,5;0,27;0,4
El Salvador Apertura;El Salvador;53,0;52,0;2,81;0,68;0,15;0,02;0,89;1,42;1,4;0,5;0,53;0,47;7,0;0,57;0,0;0,0;0,29;0,44;0,57;0,62;0,53
Ukraine Cup;Ukraine;53,0;53,0;2,47;0,72;0,16;0,06;0,69;1,26;1,21;0,51;0,43;0,57;12,0;0,42;16,0;0,62;0,52;0,5;0,23;0,38;0,56
Iceland 2 Deild;Iceland;53,0;53,0;3,6;0,5;0,14;0,43;1,81;2,02;1,58;0,56;0,74;0,26;8,0;1,0;0,0;0,0;0,5;0,67;0,72;0,86;0,74
India Durand Cup;India;53,0;53,0;3,3;0,54;0,16;0,85;1,53;2,08;1,23;0,63;0,58;0,42;16,0;0,69;5,0;0,8;0,74;0,58;0,56;0,59;0,7
UAE U19 League;UAE;53,0;53,0;4,26;0,56;0,2;0,26;1,87;2,26;2,0;0,53;0,6;0,4;8,0;0,62;10,0;0,3;0,46;0,5;0,73;0,75;0,43
Senegal Ligue 2;Senegal;52,0;52,0;1,42;0,94;0,07;0,23;0,09;0,83;0,6;0,58;0,35;0,65;2,0;0,5;0,0;0,0;0,25;0,41;0,24;0,35;0,35
Bolivia Liga Femenina;Bolivia;52,0;52,0;3,94;0,65;0,16;0,4;1,4;2,17;1,77;0,55;0,6;0,4;14,0;0,5;7,0;0,71;0,61;0,88;0,59;0,64;0,38
Mozambique Mocambola;Mozambique;52,0;52,0;2,27;0,83;0,12;0,35;0,39;1,31;0,96;0,58;0,48;0,52;12,0;0,42;0,0;0,0;0,21;0,5;0,5;0,42;0,48
U20 International;International (World);52,0;49,0;2,21;0,77;0,12;0,13;0,5;1,17;1,04;0,53;0,42;0,58;8,0;0,62;3,0;0,33;0,48;0,5;0,38;0,4;0,42
AFC Asian Cup;International (Asia);52,0;52,0;2,58;0,61;0,1;0,12;1,0;1,35;1,23;0,52;0,54;0,46;18,0;0,67;13,0;0,46;0,56;0,43;0,6;0,54;0,53
UEFA Champions League Qualifying Women;International (Europe);51,0;51,0;3,43;0,57;0,15;0,76;1,46;2,1;1,33;0,61;0,41;0,59;23,0;0,48;7,0;0,57;0,52;0,41;0,33;0,56;0,35
Republic of Ireland Leinster Senior Cup;Ireland;51,0;51,0;3,49;0,49;0,16;0,59;1,77;2,04;1,45;0,58;0,51;0,49;13,0;0,54;8,0;0,88;0,71;0,25;0,42;0,56;0,67
Brazil Campeonato Paraibano;Brazil;51,0;51,0;2,35;0,64;0,12;0,35;0,86;1,35;1,0;0,57;0,47;0,53;13,0;0,46;2,0;0,5;0,48;0,44;0,45;0,42;0,47
UEFA Women's Europa Cup Qualifying;International (Europe);50,0;50,0;3,04;0,64;0,15;0,88;1,09;1,96;1,08;0,64;0,38;0,62;18,0;0,22;9,0;0,22;0,22;0,43;0,75;0,15;0,28
Brazil Campeonato U20 Women;Brazil;50,0;50,0;3,22;0,58;0,13;0,54;1,35;1,88;1,34;0,58;0,3;0,7;14,0;0,36;14,0;0,21;0,29;0,3;0,31;0,12;0,33
Scotland Women Premier League 2;Scotland;50,0;50,0;3,44;0,67;0,17;0,24;1,14;1,6;1,84;0,47;0,42;0,58;14,0;0,21;8,0;0,62;0,42;0,57;0,23;0,64;0,33
FIFA U20 World Cup;International (World);50,0;50,0;2,72;0,65;0,12;0,44;0,95;1,58;1,14;0,58;0,56;0,44;15,0;0,67;6,0;0,67;0,67;0,46;0,67;0,38;1,0
Finland Kakkonen Women;Finland;50,0;49,0;3,78;0,51;0,22;0,26;1,85;2,02;1,76;0,53;0,54;0,46;9,0;0,56;3,0;0,0;0,28;0,59;0,6;0,54;0,27
Gambia FF Cup;Gambia;50,0;50,0;1,76;0,84;0,09;0,0;0,28;0,88;0,88;0,5;0,42;0,58;10,0;0,8;1,0;1,0;0,9;0,24;0,38;0,83;0,42
Guatemala Liga Nacional Women;Guatemala;50,0;50,0;3,38;0,67;0,18;0,06;1,11;1,72;1,66;0,51;0,44;0,56;14,0;0,5;5,0;0,0;0,25;0,6;0,3;0,5;0,33
India Mizoram Premier League;India;50,0;50,0;3,26;0,53;0,13;0,02;1,52;1,62;1,64;0,5;0,56;0,44;13,0;0,31;8,0;0,5;0,4;0,71;0,65;0,6;0,33
New Zealand Cup;New Zealand;50,0;50,0;4,02;0,46;0,19;0,66;2,17;2,34;1,68;0,58;0,7;0,3;13,0;0,62;6,0;0,5;0,56;0,86;0,87;0,5;0,59
AFC Champions League Women;International (Asia);50,0;50,0;3,5;0,75;0,16;0,46;0,86;1,98;1,52;0,57;0,28;0,72;23,0;0,26;12,0;0,33;0,3;0,28;0,28;0,22;0,23
UEFA Youth League Domestic Path;International (Europe);49,0;49,0;3,39;0,49;0,15;0,61;1,74;2,0;1,39;0,59;0,57;0,43;13,0;0,38;5,0;0,6;0,49;0,67;0,69;0,53;0,36
Belgium Second Amateur Division ACFF;Belgium;49,0;49,0;2,84;0,58;0,12;0,1;1,2;1,37;1,47;0,48;0,57;0,43;0,0;0,0;2,0;1,0;0,5;0,73;0,4;0,45;0,57
Bahrain Kings Cup;Bahrain;49,0;49,0;3,31;0,59;0,17;0,37;1,36;1,84;1,47;0,56;0,57;0,43;9,0;0,44;8,0;0,75;0,6;0,46;0,69;0,56;0,55
Brazil Campeonato Sergipano;Brazil;49,0;48,0;2,04;0,69;0,1;0,08;0,63;1,06;0,98;0,52;0,45;0,55;15,0;0,33;4,0;0,25;0,29;0,38;0,73;0,33;0,45
Brazil Campeonato Goiano 2;Brazil;49,0;49,0;2,29;0,71;0,09;0,45;0,65;1,37;0,92;0,6;0,45;0,55;6,0;0,17;2,0;0,0;0,08;0,53;0,48;0,27;0,45
Brazil Campeonato Goiano U20;Brazil;49,0;49,0;2,51;0,68;0,11;0,22;0,8;1,37;1,14;0,54;0,41;0,59;6,0;0,17;2,0;1,0;0,58;0,47;0,5;0,29;0,41
Brazil Campeonato Brasiliense;Brazil;49,0;49,0;2,59;0,71;0,12;0,18;0,76;1,2;1,39;0,46;0,39;0,61;16,0;0,5;8,0;0,12;0,31;0,39;0,47;0,33;0,27
Australia Capital Territory Premier League Women;Australia;49,0;49,0;4,04;0,58;0,19;0,65;1,7;2,35;1,69;0,58;0,41;0,59;13,0;0,23;6,0;0,17;0,2;0,88;0,4;0,11;0,27
FIFA U20 World Cup Women;International (World);49,0;49,0;3,1;0,72;0,15;0,73;0,88;1,92;1,18;0,62;0,41;0,59;19,0;0,58;9,0;0,33;0,46;0,38;0,22;0,45;0,48
Poland League Women;Poland;49,0;49,0;3,82;0,59;0,16;0,02;1,56;1,92;1,9;0,5;0,59;0,41;9,0;0,56;5,0;0,8;0,68;0,75;0,53;0,5;0,67
Brazil Campeonato Baiano;Brazil;48,0;48,0;2,56;0,73;0,12;0,56;0,7;1,56;1,0;0,61;0,54;0,46;10,0;0,5;1,0;1,0;0,75;0,4;0,56;0,54;0,56
Jordan Cup;Jordan;48,0;48,0;3,1;0,84;0,15;0,85;0,5;1,98;1,12;0,64;0,42;0,58;16,0;0,44;12,0;0,25;0,34;0,5;0,44;0,5;0,35
Brazil Catarinense 2;Brazil;48,0;48,0;2,17;0,82;0,1;0,67;0,4;1,42;0,75;0,65;0,46;0,54;6,0;0,33;2,0;1,0;0,67;0,44;0,45;0,46;0,46
AFC U20 Asian Cup Qualification;International (Asia);48,0;48,0;3,69;0,73;0,23;0,35;1,0;2,02;1,67;0,55;0,35;0,65;16,0;0,25;16,0;0,44;0,34;0,35;0,44;0,35;0,27
India Mumbai Elite League;India;48,0;48,0;3,27;0,51;0,17;0,48;1,61;1,4;1,88;0,43;0,52;0,48;10,0;0,6;8,0;0,62;0,61;0,52;0,4;0,46;0,55
Denmark Division 2 Women;Denmark;47,0;47,0;3,6;0,48;0,15;0,53;1,87;2,06;1,53;0,57;0,66;0,34;8,0;0,62;5,0;1,0;0,81;0,62;0,64;0,5;0,83
Dominica Premier League;Dominica;47,0;47,0;5,17;0,55;0,31;0,36;2,31;2,4;2,77;0,47;0,66;0,34;10,0;0,7;11,0;0,64;0,67;0,5;0,75;0,56;0,76
AFC Asian Cup U23 Qualifying;International (Asia);47,0;47,0;3,36;0,74;0,15;0,43;0,87;1,47;1,89;0,44;0,36;0,64;14,0;0,36;1,0;0,0;0,18;0,36;0,36;0,43;0,27
Norway Division 1 Women;Norway;47,0;47,0;3,04;0,47;0,14;0,4;1,6;1,72;1,32;0,57;0,53;0,47;9,0;0,33;5,0;0,4;0,37;0,38;0,79;0,45;0,53
Serbia League Women;Serbia;47,0;47,0;3,11;0,79;0,13;0,09;0,65;1,51;1,6;0,49;0,38;0,62;15,0;0,53;11,0;0,27;0,4;0,38;0,38;0,67;0,36
India Delhi Senior Division;India;47,0;47,0;3,15;0,61;0,14;0,51;1,22;1,32;1,83;0,42;0,47;0,53;9,0;0,78;9,0;0,44;0,61;0,67;0,29;0,46;0,62
Hong Kong Sapling Cup;Hong Kong;47,0;47,0;3,23;0,5;0,16;0,0;1,6;1,62;1,62;0,5;0,57;0,43;13,0;0,54;11,0;0,82;0,68;0,57;0,57;0,57;0,57
Germany DFB Pokal Women;Germany;46,0;45,0;3,11;0,67;0,14;0,02;1,02;1,57;1,54;0,5;0,48;0,52;11,0;0,73;18,0;0,44;0,59;0,48;0,38;0,46;0,45
Czechia Div 1 Women;Czech Republic;46,0;46,0;3,67;0,52;0,18;0,2;1,78;1,93;1,74;0,53;0,48;0,52;12,0;0,42;10,0;0,4;0,41;0,48;0,42;0,5;0,4
OFC Pro League;International (Oceania);46,0;46,0;2,98;0,62;0,14;0,67;1,12;1,83;1,15;0,61;0,59;0,41;7,0;0,43;0,0;0,0;0,21;0,67;0,7;0,17;0,59
Vietnam U21 Championship;Vietnam;46,0;46,0;2,7;0,79;0,15;0,09;0,58;1,39;1,3;0,52;0,39;0,61;10,0;0,3;10,0;0,3;0,3;0,25;0,56;0,5;0,18
UAE Pro League;UAE;45,0;45,0;3,04;0,55;0,15;0,2;1,37;1,62;1,42;0,53;0,64;0,36;10,0;0,8;2,0;0,0;0,4;0,69;0,56;0,62;0,83
Brazil Campeonato Brasileiro U20 Women;Brazil;45,0;45,0;3,51;0,58;0,15;0,84;1,48;2,18;1,33;0,62;0,44;0,56;14,0;0,29;9,0;0,44;0,37;0,44;0,83;0,3;0,22
Brazil Campeonato Brasileiro Serie B U20;Brazil;45,0;45,0;3,2;0,52;0,13;0,71;1,53;1,96;1,24;0,61;0,47;0,53;8,0;0,38;1,0;1,0;0,69;0,46;0,45;0,5;0,47
Kosovo Cup;Kosovo;45,0;45,0;2,36;0,65;0,13;0,27;0,82;1,31;1,04;0,56;0,33;0,67;12,0;0,5;2,0;0,0;0,25;0,33;0,29;0,3;0,5
Fiji National League;Fiji;45,0;45,0;3,38;0,68;0,27;0,13;1,07;1,62;1,76;0,48;0,49;0,51;7,0;0,43;6,0;0,17;0,3;0,58;0,59;0,38;0,29
Estonia Cup;Estonia;45,0;45,0;3,49;0,53;0,14;0,56;1,63;2,02;1,47;0,58;0,44;0,56;18,0;0,33;9,0;0,67;0,5;0,44;0,71;0,54;0,33
Morocco League Women;Morocco;45,0;45,0;3,62;0,6;0,15;0,38;1,44;2,0;1,62;0,55;0,58;0,42;11,0;0,55;10,0;0,5;0,52;0,5;0,86;0,62;0,46
Wales Premier League Women;Wales;45,0;45,0;4,49;0,47;0,17;0,27;2,39;2,38;2,11;0,53;0,73;0,27;15,0;0,8;6,0;0,67;0,73;1,0;0,6;0,8;0,6
Brazil Matches;Brazil;44,0;44,0;2,77;0,73;0,13;0,36;0,74;1,57;1,2;0,57;0,43;0,57;5,0;0,4;3,0;0,33;0,37;0,64;0,38;0,43;0,43
Paraguay Women League;Paraguay;44,0;44,0;3,48;0,54;0,16;0,75;1,59;1,36;2,11;0,39;0,39;0,61;13,0;0,62;16,0;0,19;0,4;0,5;0,39;0,55;0,27
COSAFA Cup;International (Africa);44,0;44,0;2,07;0,82;0,13;0,3;0,36;1,18;0,89;0,57;0,36;0,64;13,0;0,46;1,0;0,0;0,23;0,35;0,35;0,29;0,36
African Nations Championship;International (Africa);44,0;44,0;2,02;0,73;0,11;0,2;0,55;1,11;0,91;0,55;0,41;0,59;4,0;0,75;3,0;0,67;0,71;0,27;0,45;0,41;0,41
Australia Tasmania Championship;Australia;44,0;44,0;5,45;0,51;0,31;0,36;2,66;2,91;2,55;0,53;0,77;0,23;5,0;0,6;9,0;0,78;0,69;0,77;0,75;0,7;0,73
Brazil Campeonato Cearense;Brazil;43,0;43,0;2,19;0,71;0,1;0,05;0,64;1,07;1,12;0,49;0,37;0,63;11,0;0,27;5,0;0,4;0,34;0,5;0,44;0,17;0,3
MLS Play-offs;USA;43,0;43,0;2,56;0,69;0,11;0,7;0,78;1,63;0,93;0,64;0,51;0,49;7,0;0,57;0,0;0,0;0,29;0,57;0,43;0,51;0,51
Italy Serie D Play-Offs;Italy;43,0;43,0;2,58;0,59;0,12;0,3;1,05;1,44;1,14;0,56;0,53;0,47;1,0;0,0;0,0;0,0;0,0;0,41;0,64;0,53;0,53
Luxembourg Cup;Luxembourg;43,0;43,0;2,93;0,59;0,16;0,51;1,19;1,21;1,72;0,41;0,53;0,47;3,0;0,33;8,0;0,25;0,29;0,5;0,68;0,33;0,33
Brazil Campeonato Baiano U20;Brazil;43,0;43,0;3,16;0,64;0,14;0,93;1,15;2,05;1,12;0,65;0,51;0,49;12,0;0,67;4,0;0,5;0,58;0,5;0,62;0,45;0,44
Myanmar League 2;Myanmar;43,0;43,0;3,91;0,63;0,16;0,05;1,44;1,93;1,98;0,49;0,6;0,4;11,0;0,82;13,0;0,54;0,68;0,6;0,57;0,6;0,58
Brazil Campeonato Carioca C;Brazil;43,0;43,0;3,35;0,49;0,14;0,19;1,72;1,77;1,58;0,53;0,56;0,44;12,0;0,58;5,0;0,4;0,49;0,73;0,58;0,44;0,45
North Macedonia Cup;North Macedonia;43,0;43,0;2,19;0,58;0,12;0,33;0,91;1,26;0,93;0,57;0,37;0,63;10,0;0,4;7,0;0,43;0,41;0,38;0,38;0,5;0,36
England Reserve Matches;England;43,0;43,0;3,51;0,54;0,16;0,72;1,63;2,12;1,4;0,6;0,63;0,37;3,0;0,67;0,0;0,0;0,33;0,67;0,91;0,56;0,63
CONCACAF U20 Championship;International (North & Central America);43,0;43,0;3,84;0,62;0,19;0,77;1,46;2,3;1,53;0,6;0,33;0,67;22,0;0,36;12,0;0,33;0,35;0,33;0,33;0,42;0,16
Senegal FA Cup;Senegal;43,0;43,0;1,74;0,78;0,11;0,16;0,38;0,95;0,79;0,55;0,35;0,65;9,0;0,67;1,0;1,0;0,83;0,23;0,25;0,71;0,35
Georgia Cup;Georgia;43,0;43,0;2,84;0,75;0,14;0,47;0,7;1,19;1,65;0,42;0,49;0,51;1,0;1,0;1,0;0,0;0,5;0,49;0,49;0,49;0,49
Women's Euro Championships Qual;International (Europe);42,0;42,0;3,24;0,69;0,17;0,48;1,0;1,86;1,38;0,57;0,36;0,64;18,0;0,33;15,0;0,33;0,33;0,36;0,57;0,29;0,27
Maurice Revello Youth Tournament;Maurice;42,0;41,0;3,17;0,54;0,17;0,5;1,46;1,83;1,33;0,58;0,62;0,38;9,0;0,67;3,0;0,33;0,5;0,5;0,68;0,67;0,62
Guatemala Reserve League;Guatemala;42,0;42,0;3,33;0,66;0,13;1,38;1,13;2,36;0,98;0,71;0,4;0,6;14,0;0,57;0,0;0,0;0,29;0,4;0,33;0,58;0,4
Scotland Regional Cup;Scotland;42,0;41,0;3,81;0,48;0,18;0,81;1,99;2,31;1,5;0,61;0,74;0,26;12,0;0,58;7,0;1,0;0,79;0,74;0,71;0,78;0,69
Uzbekistan Cup;Uzbekistan;42,0;42,0;2,67;0,71;0,13;0,29;0,78;1,48;1,19;0,55;0,55;0,45;10,0;0,8;1,0;1,0;0,9;0,3;0,58;0,57;0,83
Spain Copa de Catalunya;Spain;42,0;42,0;3,05;0,45;0,15;0,05;1,67;1,55;1,5;0,51;0,71;0,29;3,0;0,67;5,0;1,0;0,83;0,67;0,68;0,83;0,71
Kazakhstan Cup;Kazakhstan;42,0;40,0;2,1;0,61;0,1;0,43;0,81;1,26;0,83;0,6;0,38;0,62;8,0;0,25;1,0;0,0;0,12;0,53;0,31;0,22;0,38
Croatia First League Women;Croatia;42,0;42,0;4,21;0,6;0,17;0,83;1,67;2,52;1,69;0,6;0,52;0,48;13,0;0,54;7,0;0,57;0,55;0,62;0,52;0,44;0,44
Caribbean Club Shield;International (Caribbean);42,0;42,0;3,14;0,65;0,39;1,14;1,1;2,14;1,0;0,68;0,48;0,52;16,0;0,44;5,0;0,6;0,52;0,48;0,58;0,48;0,43
San Marino Cup;San Marino;41,0;41,0;2,1;0,76;0,11;0,0;0,5;1,05;1,05;0,5;0,34;0,66;4,0;0,25;5,0;0,4;0,32;0,33;0,42;0,34;0,33
Iraq Cup;Iraq;41,0;41,0;2,17;0,66;0,13;0,76;0,74;1,46;0,71;0,67;0,54;0,46;11,0;0,45;0,0;0,0;0,23;0,5;0,62;0,5;0,54
Isthmian Cup;England;41,0;41,0;3,71;0,51;0,16;0,05;1,83;1,83;1,88;0,49;0,73;0,27;7,0;0,71;0,0;0,0;0,36;0,75;0,78;0,64;0,73
Ethiopia Cup;Ethiopia;41,0;39,0;2,02;0,64;0,12;0,17;0,73;0,93;1,1;0,46;0,41;0,59;6,0;0,33;2,0;0,5;0,42;0,53;0,27;0,38;0,41
Luxembourg Promotion D’Honneur;Luxembourg;41,0;41,0;3,32;0,52;0,15;0,68;1,61;2,0;1,32;0,6;0,59;0,41;3,0;0,33;0,0;0,0;0,17;0,69;0,62;0,5;0,59
Belgium Second Amateur Division VFV B;Belgium;41,0;41,0;3,59;0,65;0,14;0,17;1,27;1,88;1,71;0,52;0,59;0,41;2,0;0,5;1,0;1,0;0,75;0,64;0,53;0,71;0,59
AFC Challenge League;International (Asia);41,0;41,0;3,2;0,51;0,14;0,46;1,56;1,37;1,83;0,43;0,61;0,39;7,0;0,71;2,0;0,5;0,61;0,75;0,53;0,88;0,61
Dominican Republic Cup;Dominican Republic;41,0;41,0;2,95;0,65;0,17;0,76;1,04;1,85;1,1;0,63;0,37;0,63;10,0;0,3;6,0;0,67;0,48;0,4;0,33;0,56;0,22
Myanmar League Women;Myanmar;40,0;40,0;3,28;0,63;0,16;0,57;1,22;1,35;1,92;0,41;0,48;0,52;7,0;0,14;15,0;0,33;0,24;0,48;0,5;0,48;0,25
Romania Liga 1 Women;Romania;40,0;40,0;3,52;0,56;0,17;0,82;1,55;2,17;1,35;0,62;0,45;0,55;15,0;0,6;6,0;0,0;0,3;0,45;0,5;0,4;0,36
Australia Queensland Pro Series;Australia;40,0;40,0;4,05;0,44;0,21;0,3;2,27;1,88;2,17;0,46;0,68;0,32;2,0;1,0;10,0;0,4;0,7;1,0;0,79;0,38;0,5
Cameroon League Women;Cameroon;40,0;40,0;2,65;0,53;0,13;0,15;1,24;1,4;1,25;0,53;0,52;0,48;9,0;0,44;3,0;0,33;0,39;0,71;0,4;0,29;0,57
Singapore Cup;Singapore;40,0;40,0;3,62;0,53;0,14;0,12;1,72;1,75;1,88;0,48;0,68;0,32;8,0;0,5;4,0;1,0;0,75;0,89;0,58;0,75;0,55
Brazil Copa Fares Lopes;Brazil;40,0;40,0;2,2;0,55;0,1;0,2;1,0;1,2;1,0;0,55;0,45;0,55;8,0;0,75;0,0;0,0;0,38;0,56;0,33;0,29;0,45
